PA,U.S. House District 4,4,210219,121117
PA,U.S. House District 5,5,191571,102815
PA,U.S. House District 6,6,175516,122896
PA,U.S. House District 7,7,137122,111862
PA,U.S. House District 8,8,134519,111640
PA,U.S. House District 9,9,98232,146675
PA,U.S. House District 10,10,140956,148790
PA,U.S. House District 11,11,114831,162835
PA,U.S. House District 12,12,81759,159972
PA,U.S. House District 13,13,73791,175835
PA,U.S. House District 14,14,108179,149147
PA,U.S. House District 15,15,76769,162386
PA,U.S. House District 16,16,121585,132088
PA,U.S. House District 17,17,181187,141145
PA,U.S. House District 18,18,97700.32732,121140.7302
RI,U.S. House District 1,1,116099,57567
RI,U.S. House District 2,2,126476,72271
SC,U.S. House District 1,1,145455,141473
SC,U.S. House District 2,2,109199,144642
SC,U.S. House District 3,3,70046,153338
SC,U.S. House District 4,4,89182,145321
SC,U.S. House District 5,5,103129,141757
SC,U.S. House District 6,6,144765,58282
SC,U.S. House District 7,7,96564,142681
SD,U.S. House At-Large,1,121002,202673
TN,U.S. House District 1,1,47087,172708
TN,U.S. House District 2,2,87131,172765
TN,U.S. House District 3,3,84632,156385
TN,U.S. House District 4,4,77955,147196
TN,U.S. House District 5,5,177661,84196
TN,U.S. House District 6,6,70298,172682
TN,U.S. House District 7,7,81574,169769
TN,U.S. House District 8,8,74126,166400
TN,U.S. House District 9,9,143690,34710
TX,U.S. House District 1,1,60957,167734
TX,U.S. House District 2,2,119708,139012
TX,U.S. House District 3,3,137547,168775
TX,U.S. House District 4,4,57209,188003
TX,U.S. House District 5,5,78394,130404
TX,U.S. House District 6,6,116040,135779
TX,U.S. House District 7,7,127568,115418
TX,U.S. House District 8,8,67748,200367
TX,U.S. House District 9,9,147793.7025,45382.59956
TX,U.S. House District 10,10,142728,154807
TX,U.S. House District 11,11,40028,174749
TX,U.S. House District 12,12,90676,172205
TX,U.S. House District 13,13,34859,168090
TX,U.S. House District 14,14,90937,137582
TX,U.S. House District 15,15,98089,63593
TX,U.S. House District 16,16,122676,48495
TX,U.S. House District 17,17,97574,134375
TX,U.S. House District 18,18,138423,38306
TX,U.S. House District 19,19,49941,152012
TX,U.S. House District 20,20,128471.5386,49184.26599
TX,U.S. House District 21,21,167020,176913
TX,U.S. House District 22,22,137592,152368
TX,U.S. House District 23,23,101753,102903
TX,U.S. House District 24,24,124580,132992
TX,U.S. House District 25,25,135288,162288
TX,U.S. House District 26,26,121584,185268
TX,U.S. House District 27,27,75761,124958
TX,U.S. House District 28,28,117623.4839,36383.22863
TX,U.S. House District 29,29,87997,28045
TX,U.S. House District 30,30,120840.3911,49013.1415
TX,U.S. House District 31,31,135843,144393
TX,U.S. House District 32,32,142885,125600
TX,U.S. House District 33,33,90311,26007
TX,U.S. House District 34,34,85647,57157
TX,U.S. House District 35,35,137325,50276
TX,U.S. House District 36,36,60751,160783
UT,U.S. House District 1,1,63308,156692
UT,U.S. House District 2,2,105051,151489
UT,U.S. House District 3,3,70686,174856
UT,U.S. House District 4,4,134964,134270
VA,U.S. House District 1,1,148464,183250
VA,U.S. House District 2,2,139571,133458
VA,U.S. House District 3,3,101133.9792,70725.52597
VA,U.S. House District 4,4,187642,107706
VA,U.S. House District 5,5,145040,165339
VA,U.S. House District 6,6,113133,167957
VA,U.S. House District 7,7,176079,169295
VA,U.S. House District 8,8,247137,76899
VA,U.S. House District 9,9,85833,160933
VA,U.S. House District 10,10,206356,160841
VA,U.S. House District 11,11,219191,83023
VT,U.S. House At-Large,1,188547,70705
WA,U.S. House District 1,1,188735,129951
WA,U.S. House District 2,2,194211.834,67909.02688
WA,U.S. House District 3,3,140651,157745
WA,U.S. House District 4,4,66423,120540
WA,U.S. House District 5,5,124996,153416
WA,U.S. House District 6,6,187802,108361
WA,U.S. House District 7,7,320325,63573
WA,U.S. House District 8,8,151196,136041
WA,U.S. House District 9,9,303661.416,41680.16499
WA,U.S. House District 10,10,142656,89994
WI,U.S. House District 1,1,137507,177490
WI,U.S. House District 2,2,190306.1238,87314.83883
WI,U.S. House District 3,3,187616,126897
WI,U.S. House District 4,4,206475,59091
WI,U.S. House District 5,5,137536,224398
WI,U.S. House District 6,6,144530,180314
WI,U.S. House District 7,7,123549,193128
WI,U.S. House District 8,8,119263,209400
WV,U.S. House District 1,1,70402,128725
WV,U.S. House District 2,2,86678,109018
WV,U.S. House District 3,3,75776,98048
WY,U.S. House At-Large,1,59903,127963
