South Carolina,3,www.nytimes.com/elections/2016/results/south-carolina-house-district-3-duncan-cleveland
California,9,www.nytimes.com/elections/2016/results/california-house-district-9-mcnerney-amador
Florida,16,www.nytimes.com/elections/2016/results/florida-house-district-16-buchanan-schneider
Pennsylvania,15,www.nytimes.com/elections/2016/results/pennsylvania-house-district-15-dent-daugherty
Georgia,11,www.nytimes.com/elections/2016/results/georgia-house-district-11-loudermilk-wilson
California,18,www.nytimes.com/elections/2016/results/california-house-district-18-eshoo-fox
Michigan,5,www.nytimes.com/elections/2016/results/michigan-house-district-5-kildee-hardwick
Florida,1,www.nytimes.com/elections/2016/results/florida-house-district-1-specht-gaetz
Ohio,4,www.nytimes.com/elections/2016/results/ohio-house-district-4-jordan-garrett
New Jersey,1,www.nytimes.com/elections/2016/results/new-jersey-house-district-1-norcross-patterson
Texas,29,www.nytimes.com/elections/2016/results/texas-house-district-29-green-garza
California,36,www.nytimes.com/elections/2016/results/california-house-district-36-ruiz-stone
Louisiana,6,www.nytimes.com/elections/2016/results/louisiana-house-district-6
Georgia,3,www.nytimes.com/elections/2016/results/georgia-house-district-3-pendley-ferguson
Missouri,4,www.nytimes.com/elections/2016/results/missouri-house-district-4-hartzler-christensen
Ohio,5,www.nytimes.com/elections/2016/results/ohio-house-district-5-latta-neu
California,46,www.nytimes.com/elections/2016/results/california-house-district-46
North Carolina,13,www.nytimes.com/elections/2016/results/north-carolina-house-district-13-davis-budd
Florida,27,www.nytimes.com/elections/2016/results/florida-house-district-27-ros-lehtinen-fuhrman
Missouri,5,www.nytimes.com/elections/2016/results/missouri-house-district-5-cleaver-turk
New Jersey,3,www.nytimes.com/elections/2016/results/new-jersey-house-district-3-macarthur-lavergne
Virginia,5,www.nytimes.com/elections/2016/results/virginia-house-district-5-dittmar-garrett
Texas,11,www.nytimes.com/elections/2016/results/texas-house-district-11
Pennsylvania,10,www.nytimes.com/elections/2016/results/pennsylvania-house-district-10-marino-molesevich
Minnesota,8,www.nytimes.com/elections/2016/results/minnesota-house-district-8-nolan-mills
Texas,32,www.nytimes.com/elections/2016/results/texas-house-district-32
Michigan,2,www.nytimes.com/elections/2016/results/michigan-house-district-2-huizenga-murphy
Wisconsin,7,www.nytimes.com/elections/2016/results/wisconsin-house-district-7-duffy-hoeft
Illinois,15,www.nytimes.com/elections/2016/results/illinois-house-district-15
Arkansas,3,www.nytimes.com/elections/2016/results/arkansas-house-district-3
Alabama,4,www.nytimes.com/elections/2016/results/alabama-house-district-4
Georgia,6,www.nytimes.com/elections/2016/results/georgia-house-district-6-price-stooksbury
Missouri,7,www.nytimes.com/elections/2016/results/missouri-house-district-7-long-williams
Pennsylvania,2,www.nytimes.com/elections/2016/results/pennsylvania-house-district-2-evans-jones
Virginia,8,www.nytimes.com/elections/2016/results/virginia-house-district-8-beyer-hernick
Arizona,1,www.nytimes.com/elections/2016/results/arizona-house-district-1-ohalleran-babeu
Texas,3,www.nytimes.com/elections/2016/results/texas-house-district-3-johnson-bell
New Jersey,11,www.nytimes.com/elections/2016/results/new-jersey-house-district-11-frelinghuysen-wenzel
Ohio,11,www.nytimes.com/elections/2016/results/ohio-house-district-11-fudge-goldstein
Arizona,2,www.nytimes.com/elections/2016/results/arizona-house-district-2-mcsally-heinz
North Carolina,5,www.nytimes.com/elections/2016/results/north-carolina-house-district-5-foxx-brannon
California,14,www.nytimes.com/elections/2016/results/california-house-district-14-speier-cardenas
Alabama,2,www.nytimes.com/elections/2016/results/alabama-house-district-2-roby-mathis
Texas,25,www.nytimes.com/elections/2016/results/texas-house-district-25-williams-thomas
Georgia,8,www.nytimes.com/elections/2016/results/georgia-house-district-8-scott-harris
Missouri,1,www.nytimes.com/elections/2016/results/missouri-house-district-1-clay-bailey
Montana,At Large,www.nytimes.com/elections/2016/results/montana-house-district-1-zinke-juneau
California,4,www.nytimes.com/elections/2016/results/california-house-district-4-mcclintock-derlet
New York,16,www.nytimes.com/elections/2016/results/new-york-house-district-16
Nevada,4,www.nytimes.com/elections/2016/results/nevada-house-district-4-hardy-kihuen
California,24,www.nytimes.com/elections/2016/results/california-house-district-24-carbajal-fareed
Georgia,9,www.nytimes.com/elections/2016/results/georgia-house-district-9
Tennessee,2,www.nytimes.com/elections/2016/results/tennessee-house-district-2-duncan-starr
Texas,28,www.nytimes.com/elections/2016/results/texas-house-district-28-cuellar-hardin
Arkansas,4,www.nytimes.com/elections/2016/results/arkansas-house-district-4
Iowa,3,www.nytimes.com/elections/2016/results/iowa-house-district-3-young-mowrer
Massachusetts,6,www.nytimes.com/elections/2016/results/massachusetts-house-district-6
North Carolina,12,www.nytimes.com/elections/2016/results/north-carolina-house-district-12-adams-threatt
Kentucky,6,www.nytimes.com/elections/2016/results/kentucky-house-district-6-barr-kemper
Missouri,3,www.nytimes.com/elections/2016/results/missouri-house-district-3-luetkemeyer-miller
California,6,www.nytimes.com/elections/2016/results/california-house-district-6-matsui-evans
New Jersey,9,www.nytimes.com/elections/2016/results/new-jersey-house-district-9-pascrell-castillo
Pennsylvania,6,www.nytimes.com/elections/2016/results/pennsylvania-house-district-6-costello-parrish
Maryland,6,www.nytimes.com/elections/2016/results/maryland-house-district-6-delaney-hoeber
