stateFP,state,maptype,countyFP,county,district,dem_CountySplitValue,rep_CountySplitValue
stateFP,state,current,6057,"Nevada County, California",1,0.8531595166680859,0.8713410054051032
stateFP,state,current,48021,"Bastrop County, Texas",27,0.4643041074177717,0.43110701422129005
stateFP,state,current,13003,"Atkinson County, Georgia",8,1.0,1.0
stateFP,state,current,55065,"Lafayette County, Wisconsin",2,1.0,1.0
stateFP,state,current,42091,"Montgomery County, Pennsylvania",7,0.18994860881924328,0.187621848060582
stateFP,state,current,16053,"Jerome County, Idaho",2,1.0,1.0
stateFP,state,current,39123,"Ottawa County, Ohio",5,0.4930824334052831,0.4543451252331797
stateFP,state,current,6085,"Santa Clara County, California",14,5.895984753709113e-06,2.6118711514132815e-05
stateFP,state,current,26011,"Arenac County, Michigan",5,1.0,1.0
stateFP,state,current,48223,"Hopkins County, Texas",4,1.0,1.0
stateFP,state,current,48343,"Morris County, Texas",4,1.0,1.0
stateFP,state,current,39077,"Huron County, Ohio",7,0.4662201762589353,0.5008522563351964
stateFP,state,current,47011,"Bradley County, Tennessee",3,0.2587401533424552,0.3110232341702392
stateFP,state,current,17085,"Jo Daviess County, Illinois",17,1.0,1.0
stateFP,state,current,36093,"Schenectady County, New York",20,1.0,1.0
stateFP,state,current,51069,"Frederick County, Virginia",10,1.0,1.0
stateFP,state,current,26113,"Missaukee County, Michigan",4,1.0,1.0
stateFP,state,current,6029,"Kern County, California",23,0.6417252644545193,0.7709596772409113
stateFP,state,current,21019,"Boyd County, Kentucky",4,0.759774410314695,0.7428851347714355
stateFP,state,current,36069,"Ontario County, New York",27,0.581752059032073,0.6117795948992316
stateFP,state,current,49049,"Utah County, Utah",3,0.9503602434724213,0.8210342060054532
stateFP,state,current,51013,"Arlington County, Virginia",8,1.0,1.0
stateFP,state,current,36081,"Queens County, New York",8,0.015537019079100803,0.05098521886640657
stateFP,state,current,31073,"Gosper County, Nebraska",3,1.0,1.0
stateFP,state,current,24041,"Talbot County, Maryland",1,1.0,1.0
stateFP,state,current,53053,"Pierce County, Washington",10,0.5317979698600195,0.46378914903142393
stateFP,state,current,45029,"Colleton County, South Carolina",6,0.9938805667930376,0.9928483590906263
stateFP,state,current,48255,"Karnes County, Texas",15,1.0,1.0
stateFP,state,current,13089,"DeKalb County, Georgia",4,0.5923233645011033,0.3823752507832059
stateFP,state,current,8071,"Las Animas County, Colorado",4,1.0,1.0
stateFP,state,current,19123,"Mahaska County, Iowa",2,1.0,1.0
stateFP,state,current,25021,"Norfolk County, Massachusetts",2,0.00405744414237952,0.005809289532883901
stateFP,state,current,55123,"Vernon County, Wisconsin",3,1.0,1.0
stateFP,state,current,1025,"Clarke County, Alabama",7,0.8118580247701334,0.7948348506197591
stateFP,state,current,20197,"Wabaunsee County, Kansas",1,1.0,1.0
stateFP,state,current,24023,"Garrett County, Maryland",6,1.0,1.0
stateFP,state,current,35001,"Bernalillo County, New Mexico",3,0.033127886403860635,0.03960130882076834
stateFP,state,current,26157,"Tuscola County, Michigan",10,0.7181227881912139,0.7173738038948022
stateFP,state,current,45083,"Spartanburg County, South Carolina",3,2.6112166634569197e-05,2.945190940269347e-05
stateFP,state,current,48201,"Harris County, Texas",9,0.1688263642186813,0.061871330510789496
stateFP,state,current,5061,"Howard County, Arkansas",4,1.0,1.0
stateFP,state,current,13129,"Gordon County, Georgia",14,1.0,1.0
stateFP,state,current,26087,"Lapeer County, Michigan",10,1.0,1.0
stateFP,state,current,13207,"Monroe County, Georgia",8,1.0,1.0
stateFP,state,current,48219,"Hockley County, Texas",19,1.0,1.0
stateFP,state,current,18165,"Vermillion County, Indiana",8,1.0,1.0
stateFP,state,current,13263,"Talbot County, Georgia",2,1.0,1.0
stateFP,state,current,6051,"Mono County, California",8,1.0,1.0
stateFP,state,current,45035,"Dorchester County, South Carolina",1,0.852320875455636,0.8339277619797388
stateFP,state,current,39003,"Allen County, Ohio",4,1.0,1.0
stateFP,state,current,27087,"Mahnomen County, Minnesota",7,1.0,1.0
stateFP,state,current,21103,"Henry County, Kentucky",4,1.0,1.0
stateFP,state,current,25009,"Essex County, Massachusetts",6,0.7114870280896903,0.782661935446144
stateFP,state,current,13133,"Greene County, Georgia",10,1.0,1.0
stateFP,state,current,25027,"Worcester County, Massachusetts",5,0.014065220782212033,0.013938946511362705
stateFP,state,current,17171,"Scott County, Illinois",18,1.0,1.0
stateFP,state,current,48331,"Milam County, Texas",17,1.0,1.0
stateFP,state,current,22019,"Calcasieu Parish, Louisiana",3,1.0,1.0
stateFP,state,current,8089,"Otero County, Colorado",4,1.0,1.0
stateFP,state,current,24510,"Baltimore city, Maryland",7,0.6541646017388825,0.4605189905383043
stateFP,state,current,27053,"Hennepin County, Minnesota",4,2.8548977145936354e-06,3.6233425807536395e-06
stateFP,state,current,48321,"Matagorda County, Texas",27,1.0,1.0
stateFP,state,current,40083,"Logan County, Oklahoma",3,1.0,1.0
stateFP,state,current,34037,"Sussex County, New Jersey",11,0.3374582730284898,0.32657890423510005
stateFP,state,current,18145,"Shelby County, Indiana",6,1.0,1.0
stateFP,state,current,36045,"Jefferson County, New York",21,1.0,1.0
stateFP,state,current,48273,"Kleberg County, Texas",34,1.0,1.0
stateFP,state,current,17145,"Perry County, Illinois",12,1.0,1.0
stateFP,state,current,26083,"Keweenaw County, Michigan",1,1.0,1.0
stateFP,state,current,27007,"Beltrami County, Minnesota",7,0.659735777113224,0.528941382972762
stateFP,state,current,36103,"Suffolk County, New York",1,0.46422240183624097,0.5045986663978089
stateFP,state,current,39145,"Scioto County, Ohio",2,0.5815420773638387,0.49734087346580935
stateFP,state,current,51003,"Albemarle County, Virginia",5,1.0,1.0
stateFP,state,current,41035,"Klamath County, Oregon",2,1.0,1.0
stateFP,state,current,41009,"Columbia County, Oregon",1,1.0,1.0
stateFP,state,current,48155,"Foard County, Texas",13,1.0,1.0
stateFP,state,current,13175,"Laurens County, Georgia",12,1.0,1.0
stateFP,state,current,6061,"Placer County, California",7,3.2884125166603115e-05,2.9967163349020934e-05
stateFP,state,current,12057,"Hillsborough County, Florida",14,0.6062881782118525,0.5184464016634237
stateFP,state,current,8009,"Baca County, Colorado",4,1.0,1.0
stateFP,state,current,34031,"Passaic County, New Jersey",9,0.6558052142753705,0.4986665785118032
stateFP,state,current,1103,"Morgan County, Alabama",5,1.0,1.0
stateFP,state,current,28133,"Sunflower County, Mississippi",2,1.0,1.0
stateFP,state,current,4001,"Apache County, Arizona",1,1.0,1.0
stateFP,state,current,45035,"Dorchester County, South Carolina",6,0.14767912454436413,0.16607223802026108
stateFP,state,current,36019,"Clinton County, New York",21,1.0,1.0
stateFP,state,current,53067,"Thurston County, Washington",10,0.9403024785007441,0.9063893819511403
stateFP,state,current,6059,"Orange County, California",49,0.0364037432050457,0.10063884684788978
stateFP,state,current,40003,"Alfalfa County, Oklahoma",3,1.0,1.0
stateFP,state,current,26073,"Isabella County, Michigan",4,1.0,1.0
stateFP,state,current,12071,"Lee County, Florida",19,0.8878127015430273,0.8669584271045779
stateFP,state,current,6027,"Inyo County, California",8,1.0,1.0
stateFP,state,current,17013,"Calhoun County, Illinois",13,1.0,1.0
stateFP,state,current,16081,"Teton County, Idaho",2,1.0,1.0
stateFP,state,current,39093,"Lorain County, Ohio",4,0.3741544564404656,0.3500776693931022
stateFP,state,current,6055,"Napa County, California",5,1.0,1.0
stateFP,state,current,6113,"Yolo County, California",6,0.17409081024172024,0.23480259063085088
stateFP,state,current,48097,"Cooke County, Texas",13,1.0,1.0
stateFP,state,current,17129,"Menard County, Illinois",18,1.0,1.0
stateFP,state,current,4011,"Greenlee County, Arizona",1,1.0,1.0
stateFP,state,current,1081,"Lee County, Alabama",3,1.0,1.0
stateFP,state,current,37033,"Caswell County, North Carolina",6,1.0,1.0
stateFP,state,current,13127,"Glynn County, Georgia",1,1.0,1.0
stateFP,state,current,17197,"Will County, Illinois",14,0.1902209870800971,0.12225582859024867
stateFP,state,current,6095,"Solano County, California",3,0.5486825958057021,0.75878809144139
stateFP,state,current,19145,"Page County, Iowa",3,1.0,1.0
stateFP,state,current,51580,"Covington city, Virginia",9,1.0,1.0
stateFP,state,current,12113,"Santa Rosa County, Florida",1,1.0,1.0
stateFP,state,current,34013,"Essex County, New Jersey",11,0.2684626829210006,0.41970607168851587
stateFP,state,current,29005,"Atchison County, Missouri",6,1.0,1.0
stateFP,state,current,28093,"Marshall County, Mississippi",1,1.0,1.0
stateFP,state,current,39087,"Lawrence County, Ohio",6,1.0,1.0
stateFP,state,current,6033,"Lake County, California",3,0.5428357092614557,0.5376035428685405
stateFP,state,current,48337,"Montague County, Texas",13,1.0,1.0
stateFP,state,current,13093,"Dooly County, Georgia",2,1.0,1.0
stateFP,state,current,20049,"Elk County, Kansas",4,1.0,1.0
stateFP,state,current,27059,"Isanti County, Minnesota",8,1.0,1.0
stateFP,state,current,12095,"Orange County, Florida",6,2.32887917867244e-06,3.916329659605364e-06
stateFP,state,current,55127,"Walworth County, Wisconsin",5,0.13711933556119346,0.030801647376330107
stateFP,state,current,13303,"Washington County, Georgia",10,1.0,1.0
stateFP,state,current,48405,"San Augustine County, Texas",1,1.0,1.0
stateFP,state,current,28103,"Noxubee County, Mississippi",3,1.0,1.0
stateFP,state,current,45087,"Union County, South Carolina",5,1.0,1.0
stateFP,state,current,48427,"Starr County, Texas",28,1.0,1.0
stateFP,state,current,12099,"Palm Beach County, Florida",18,0.19363879767050118,0.22242689631052284
stateFP,state,current,12071,"Lee County, Florida",25,1.905686767544472e-06,2.6090246505637383e-06
stateFP,state,current,1041,"Crenshaw County, Alabama",2,1.0,1.0
stateFP,state,current,18095,"Madison County, Indiana",5,1.0,1.0
stateFP,state,current,26163,"Wayne County, Michigan",11,0.15568540849422038,0.194250012259239
stateFP,state,current,35045,"San Juan County, New Mexico",3,1.0,1.0
stateFP,state,current,28013,"Calhoun County, Mississippi",1,1.0,1.0
