stateFP,state,maptype,countyFP,county,district,dem_CountySplitValue,rep_CountySplitValue
stateFP,state,current,47039,"Decatur County, Tennessee",7,1.0,1.0
stateFP,state,current,22097,"St. Landry Parish, Louisiana",5,0.47859275529874706,0.4579006410032683
stateFP,state,current,13009,"Baldwin County, Georgia",10,1.0,1.0
stateFP,state,current,48491,"Williamson County, Texas",31,1.0,1.0
stateFP,state,current,20107,"Linn County, Kansas",2,1.0,1.0
stateFP,state,current,26005,"Allegan County, Michigan",2,0.03444994224359185,0.024968646056596853
stateFP,state,current,12011,"Broward County, Florida",22,0.3085257358564724,0.38158676565699085
stateFP,state,current,33009,"Grafton County, New Hampshire",2,0.9797038177895864,0.9742395135325046
stateFP,state,current,29103,"Knox County, Missouri",6,1.0,1.0
stateFP,state,current,21175,"Morgan County, Kentucky",5,1.0,1.0
stateFP,state,current,13237,"Putnam County, Georgia",10,1.0,1.0
stateFP,state,current,41023,"Grant County, Oregon",2,1.0,1.0
stateFP,state,current,16087,"Washington County, Idaho",1,1.0,1.0
stateFP,state,current,28089,"Madison County, Mississippi",2,0.35985933945766707,0.2622488752261252
stateFP,state,current,13151,"Henry County, Georgia",3,0.2863530308745683,0.28140134731119953
stateFP,state,current,17097,"Lake County, Illinois",6,0.07598633942278339,0.11235616051341264
stateFP,state,current,37125,"Moore County, North Carolina",8,1.0,1.0
stateFP,state,current,48267,"Kimble County, Texas",11,1.0,1.0
stateFP,state,current,48089,"Colorado County, Texas",10,1.0,1.0
stateFP,state,current,29029,"Camden County, Missouri",4,0.3954769825767515,0.4172945069941186
stateFP,state,current,6057,"Nevada County, California",1,0.8227217212006865,0.8786371141544665
stateFP,state,current,48021,"Bastrop County, Texas",27,0.42712643147429796,0.4331429514413001
stateFP,state,current,13003,"Atkinson County, Georgia",8,1.0,1.0
stateFP,state,current,55065,"Lafayette County, Wisconsin",2,1.0,1.0
stateFP,state,current,42091,"Montgomery County, Pennsylvania",7,0.18341777026712028,0.1868220737900452
stateFP,state,current,16053,"Jerome County, Idaho",2,1.0,1.0
stateFP,state,current,39123,"Ottawa County, Ohio",5,0.4728054008683569,0.45513160948691583
stateFP,state,current,6085,"Santa Clara County, California",14,5.38009687614961e-06,2.6703469313541986e-05
stateFP,state,current,26011,"Arenac County, Michigan",5,1.0,1.0
stateFP,state,current,48223,"Hopkins County, Texas",4,1.0,1.0
stateFP,state,current,48343,"Morris County, Texas",4,1.0,1.0
stateFP,state,current,39077,"Huron County, Ohio",7,0.4710976275270137,0.501780940034221
stateFP,state,current,47011,"Bradley County, Tennessee",3,0.27096122052438565,0.2971000162073023
stateFP,state,current,17085,"Jo Daviess County, Illinois",17,1.0,1.0
stateFP,state,current,36093,"Schenectady County, New York",20,1.0,1.0
stateFP,state,current,51069,"Frederick County, Virginia",10,1.0,1.0
stateFP,state,current,26113,"Missaukee County, Michigan",4,1.0,1.0
stateFP,state,current,6029,"Kern County, California",23,0.6655009040933576,0.7635668544867937
stateFP,state,current,21019,"Boyd County, Kentucky",4,0.7563476950567485,0.7464236478936824
stateFP,state,current,36069,"Ontario County, New York",27,0.5895730539201152,0.5958579253908173
stateFP,state,current,49049,"Utah County, Utah",3,0.8387743335186197,0.8516257567728193
stateFP,state,current,51013,"Arlington County, Virginia",8,1.0,1.0
stateFP,state,current,36081,"Queens County, New York",8,0.01296402354011481,0.05476969852966164
stateFP,state,current,31073,"Gosper County, Nebraska",3,1.0,1.0
stateFP,state,current,24041,"Talbot County, Maryland",1,1.0,1.0
stateFP,state,current,53053,"Pierce County, Washington",10,0.5678396999131776,0.4630795450917719
stateFP,state,current,45029,"Colleton County, South Carolina",6,0.9944118244020377,0.9923845084620039
stateFP,state,current,48255,"Karnes County, Texas",15,1.0,1.0
stateFP,state,current,13089,"DeKalb County, Georgia",4,0.5209900893238245,0.38934803893833336
stateFP,state,current,8071,"Las Animas County, Colorado",4,1.0,1.0
stateFP,state,current,19123,"Mahaska County, Iowa",2,1.0,1.0
stateFP,state,current,25021,"Norfolk County, Massachusetts",2,0.003300977232250797,0.005888789615890753
stateFP,state,current,55123,"Vernon County, Wisconsin",3,1.0,1.0
stateFP,state,current,1025,"Clarke County, Alabama",7,0.802639162228708,0.7994933060595335
stateFP,state,current,20197,"Wabaunsee County, Kansas",1,1.0,1.0
stateFP,state,current,24023,"Garrett County, Maryland",6,1.0,1.0
stateFP,state,current,35001,"Bernalillo County, New Mexico",3,0.042076390137743794,0.03493382459681769
stateFP,state,current,26157,"Tuscola County, Michigan",10,0.7169826125582779,0.7161481251985017
stateFP,state,current,45083,"Spartanburg County, South Carolina",3,2.4060870336448625e-05,2.8725729688970343e-05
stateFP,state,current,48201,"Harris County, Texas",9,0.1817689552870501,0.06003060701275839
stateFP,state,current,5061,"Howard County, Arkansas",4,1.0,1.0
stateFP,state,current,13129,"Gordon County, Georgia",14,1.0,1.0
stateFP,state,current,26087,"Lapeer County, Michigan",10,1.0,1.0
stateFP,state,current,13207,"Monroe County, Georgia",8,1.0,1.0
stateFP,state,current,48219,"Hockley County, Texas",19,1.0,1.0
stateFP,state,current,18165,"Vermillion County, Indiana",8,1.0,1.0
stateFP,state,current,13263,"Talbot County, Georgia",2,1.0,1.0
stateFP,state,current,6051,"Mono County, California",8,1.0,1.0
stateFP,state,current,45035,"Dorchester County, South Carolina",1,0.8499072077077283,0.8304475471033775
stateFP,state,current,39003,"Allen County, Ohio",4,1.0,1.0
stateFP,state,current,27087,"Mahnomen County, Minnesota",7,1.0,1.0
stateFP,state,current,21103,"Henry County, Kentucky",4,1.0,1.0
stateFP,state,current,25009,"Essex County, Massachusetts",6,0.7156320383190028,0.782993491319579
stateFP,state,current,13133,"Greene County, Georgia",10,1.0,1.0
stateFP,state,current,25027,"Worcester County, Massachusetts",5,0.014284644081909345,0.013705377747573204
stateFP,state,current,17171,"Scott County, Illinois",18,1.0,1.0
stateFP,state,current,48331,"Milam County, Texas",17,1.0,1.0
stateFP,state,current,22019,"Calcasieu Parish, Louisiana",3,1.0,1.0
