stateFP,state,maptype,countyFP,county,district,demPercentage,repPercentage
06,CA,Compact,67,...,3,0.005010775821169137,0.006739376990540491
06,CA,Compact,75,...,14,0.10556706576565658,0.05316579434587484
06,CA,Compact,91,...,4,1.0,1.0
06,CA,Compact,35,...,1,1.0,1.0
06,CA,Compact,93,...,1,1.0,1.0
06,CA,Compact,115,...,4,1.0,1.0
06,CA,Compact,1,...,11,1.4101250261549127e-05,4.4666113977849e-05
06,CA,Compact,63,...,1,1.0,1.0
06,CA,Compact,59,...,32,1.2154052583955617e-05,1.5772764113190708e-05
06,CA,Compact,67,...,4,2.596039096940408e-05,4.2398809926209395e-05
06,CA,Compact,65,...,35,0.013416271358207442,0.00678905773654798
06,CA,Compact,59,...,47,1.3366429739450446e-05,8.371763528297982e-06
06,CA,Compact,57,...,4,1.0,1.0
06,CA,Compact,71,...,41,1.8832772138123268e-05,1.7823872427062978e-05
06,CA,Compact,43,...,16,1.0,1.0
06,CA,Compact,3,...,16,1.0,1.0
06,CA,Compact,87,...,15,0.16178771388288626,0.1301560126819738
06,CA,Compact,113,...,3,0.06206952038313489,0.03056611454273167
06,CA,Compact,37,...,39,2.0960867060218115e-06,4.99311989724238e-06
06,CA,Compact,71,...,32,5.973231925674701e-06,4.554509269309621e-07
06,CA,Compact,37,...,26,7.071627667858108e-07,2.235160085467423e-06
06,CA,Compact,51,...,16,1.0,1.0
06,CA,Compact,13,...,13,1.2283137721023875e-05,8.414955205228211e-06
06,CA,Compact,65,...,31,3.232831347441298e-06,4.779631088384733e-06
06,CA,Compact,1,...,18,1.7628385267921728e-06,3.470497128367158e-06
06,CA,Compact,67,...,5,1.8091159849471755e-06,2.2212512497788478e-07
06,CA,Compact,85,...,17,8.782480108933227e-06,5.900373072689175e-07
06,CA,Compact,111,...,24,0.01955541964173264,0.010334316398764832
06,CA,Compact,13,...,17,4.638841571340363e-06,9.036359423688875e-06
06,CA,Compact,65,...,8,3.988807861193707e-06,5.351434604845473e-06
06,CA,Compact,81,...,12,2.426964020961873e-05,-3.253833936181963e-06
08,CO,Compact,59,...,7,0.5689828933993514,0.5627211814371553
08,CO,Compact,101,...,3,1.0,1.0
08,CO,Compact,31,...,1,1.0,1.0
08,CO,Compact,5,...,1,0.2240385129235233,0.16948978763020933
08,CO,Compact,83,...,3,1.0,1.0
08,CO,Compact,59,...,2,0.43068619770944966,0.43689681479483966
08,CO,Compact,3,...,3,1.0,1.0
08,CO,Compact,41,...,5,1.0,1.0
08,CO,Compact,13,...,2,0.6836187824150349,0.6953087843546604
08,CO,Compact,107,...,2,1.0,1.0
08,CO,Compact,35,...,5,0.17437513017334624,0.21113900098180904
08,CO,Compact,89,...,3,1.0,1.0
