State,ElectionDate,MapType,District,DemocratVote,RepublicanVote,Winner
FL,2016,Competitive,3,159592.88386448077,189727.4514066726,Republican
FL,2016,Competitive,4,124701.95165650215,271234.2137034534,Republican
FL,2016,Competitive,5,167084.46129075412,161368.5760348151,Democrat
FL,2016,Competitive,6,162589.44859277303,196608.98369067535,Republican
FL,2016,Competitive,7,174865.4381876106,143445.50771750015,Democrat
FL,2016,Competitive,8,155471.38219344406,235194.68406634466,Republican
FL,2016,Competitive,9,169063.35686165455,160751.85684823702,Democrat
FL,2016,Competitive,10,180538.94348770243,197274.81420204014,Republican
FL,2016,Competitive,11,107755.24992857124,237470.07309702085,Republican
FL,2016,Competitive,12,176555.2852452143,163666.94364917913,Democrat
FL,2016,Competitive,13,180600.47726645527,176155.55378116906,Democrat
FL,2016,Competitive,14,169901.2705744319,149919.7895438903,Democrat
FL,2016,Competitive,15,171899.55016786623,167339.73647260954,Democrat
FL,2016,Competitive,16,167898.87371901897,221209.19085321992,Republican
FL,2016,Competitive,17,122621.65831180109,192484.9785394045,Republican
FL,2016,Competitive,18,171898.30477534892,177789.42626372978,Republican
FL,2016,Competitive,19,136096.31511135562,227898.67065152305,Republican
FL,2016,Competitive,20,228968.15743043384,93507.62239710495,Democrat
FL,2016,Competitive,21,201824.82019399782,135807.98719398203,Democrat
FL,2016,Competitive,22,190834.6799949071,137986.4727485193,Democrat
FL,2016,Competitive,23,187593.46513123438,108029.81438195914,Democrat
FL,2016,Competitive,24,225572.5586165736,72154.8585092426,Democrat
FL,2016,Competitive,25,166554.31455034798,104947.15902050935,Democrat
FL,2016,Competitive,26,169458.2671163795,109692.54538100348,Democrat
FL,2016,Competitive,27,154651.06828231725,134528.08104875137,Democrat
FL,2016,Dem,1,106617.8007097217,255805.80250246724,Republican
FL,2016,Dem,2,192835.5803991115,147116.29701325163,Democrat
FL,2016,Dem,3,94265.89631330325,243453.07201366057,Republican
FL,2016,Dem,4,125832.61585037781,236653.31351458703,Republican
FL,2016,Dem,5,164016.13973517338,163126.5168269391,Democrat
FL,2016,Dem,6,151149.89878296843,237170.5628286336,Republican
