State,ElectionDate,MapType,District,DemocratVote,RepublicanVote,Winner
CA,2016,current,42,144503.5123748698,100307.31271521306,Democrat
CA,2016,current,43,187555.39369642572,41052.05179976383,Democrat
CA,2016,current,44,149528.4324271363,58176.42180618636,Democrat
CA,2016,current,45,139729.01298327124,114895.1806896075,Democrat
CA,2016,current,46,126619.72396525851,139166.43701212187,Republican
CA,2016,current,47,182927.191504954,38435.9230764695,Democrat
CA,2016,current,48,127018.34373796574,156104.4492083627,Republican
CA,2016,current,49,123226.68049947161,176016.91346774026,Republican
CA,2016,current,50,120919.91446414674,156159.50882488393,Republican
CA,2016,current,51,167257.30687527944,93541.70398251385,Democrat
CA,2016,current,52,186158.41629411405,94057.2507463213,Democrat
CA,2016,current,53,176859.19376662432,108941.71108974538,Democrat
CA,2018,current,1,129437.96393583324,158790.27985122497,Republican
CA,2018,current,2,181176.41017822947,49728.51580023356,Democrat
CA,2018,current,3,130127.7181349397,78391.53000161152,Democrat
CA,2018,current,4,147275.16382332868,173052.35876696213,Republican
CA,2018,current,5,173610.1486035733,22363.6578986939,Democrat
CA,2018,current,6,177333.7445968598,52702.68386146046,Democrat
CA,2018,current,7,157391.41199393696,75684.37202389305,Democrat
CA,2018,current,8,53925.06580010886,118357.00927527281,Republican
CA,2018,current,9,115836.4565735079,78751.94282337632,Democrat
CA,2018,current,10,95836.5916725035,98945.37835816234,Republican
CA,2018,current,11,179867.35602627473,69611.54376379131,Democrat
CA,2018,current,12,260284.84851764023,47728.72771116219,Democrat
CA,2018,current,13,206198.4697736589,39226.989475997194,Democrat
CA,2018,current,14,238935.85424909773,39605.71142867279,Democrat
CA,2018,current,15,210407.13968242955,32573.240933871744,Democrat
CA,2018,current,16,91953.96682604217,72378.84603523053,Democrat
CA,2018,current,17,211568.72134396978,5048.7942044711135,Democrat
CA,2018,current,18,164463.2939006192,87463.85421196574,Democrat
CA,2018,current,19,165906.71880797998,75630.72693888503,Democrat
CA,2018,current,20,181328.99455155904,12539.948169684634,Democrat
CA,2018,current,21,63616.32170806205,92959.50265221414,Republican
CA,2018,current,22,80685.2133244715,88209.7498327844,Republican
