state,district,district_dem_result,district_rep_result
New Jersey,10,175253,20191
Texas,19,50039,151946
Ohio,16,129681,170029
Pennsylvania,18,0,0
California,17,159105,52057
Tennessee,6,70370,172810
Texas,20,139038,0
Texas,22,138153,152750
Alabama,5,101388,159063
New York,17,170168,0
Ohio,2,119333,166714
California,25,133209,111813
Alaska,At Large,0,149779
New Jersey,2,136685,116866
Connecticut,2,179731,102483
California,2,243081,72576
Maryland,2,167201,77782
Illinois,5,213992,65134
Alabama,3,83996,147770
