fips,county_name,dem_vote_count,rep_vote_count
17059,"Gallatin County, Illinois",714.0000000000001,1360.0
17061,"Greene County, Illinois",1335.0,2985.0
17063,"Grundy County, Illinois",6904.000000000001,12406.0
42031,"Clarion County, Pennsylvania",3847.0,9958.0
17067,"Hancock County, Illinois",1928.0,5062.0
17069,"Hardin County, Illinois",431.0,1251.0
17071,"Henderson County, Illinois",1386.0,1278.0
17073,"Henry County, Illinois",10408.0,9034.0
17075,"Iroquois County, Illinois",1875.0000000000002,8401.0
17077,"Jackson County, Illinois",10148.0,9879.0
17079,"Jasper County, Illinois",1099.0,3311.0
17081,"Jefferson County, Illinois",4554.0,9088.0
17083,"Jersey County, Illinois",2786.0,5917.0
17085,"Jo Daviess County, Illinois",5111.0,4124.0
17087,"Johnson County, Illinois",1223.0,3948.0
17089,"Kane County, Illinois",96570.0,73262.0
17091,"Kankakee County, Illinois",16363.0,20032.0
17093,"Kendall County, Illinois",24484.0,20361.0
17095,"Knox County, Illinois",11203.0,6671.0
17097,"Lake County, Illinois",154399.0,97169.99999999999
17099,"LaSalle County, Illinois",17241.0,22725.0
17101,"Lawrence County, Illinois",1291.0,3007.0
17103,"Lee County, Illinois",5210.000000000001,7397.0
17105,"Livingston County, Illinois",3286.0,8818.0
17107,"Logan County, Illinois",2443.0,7574.0
17109,"McDonough County, Illinois",4002.0,6171.0
17111,"McHenry County, Illinois",59873.00000000001,56728.0
54035,"Jackson County, West Virginia",3874.0,5773.0
17113,"McLean County, Illinois",31232.0,36168.0
17115,"Macon County, Illinois",16242.0,22945.0
17117,"Macoupin County, Illinois",7031.0,10969.0
17119,"Madison County, Illinois",47567.0,54820.0
17121,"Marion County, Illinois",3917.0,8732.0
17123,"Marshall County, Illinois",1348.0,3374.9999999999995
17125,"Mason County, Illinois",1633.0,3602.0
17127,"Massac County, Illinois",1443.0,3936.9999999999995
17129,"Menard County, Illinois",1323.0,4032.9999999999995
17131,"Mercer County, Illinois",3967.0,3037.0
17133,"Monroe County, Illinois",5593.0,9735.0
17135,"Montgomery County, Illinois",3960.9999999999995,7438.0
17137,"Morgan County, Illinois",3342.0,8351.0
17139,"Moultrie County, Illinois",1640.0,3487.0
17141,"Ogle County, Illinois",6980.0,12147.0
17143,"Peoria County, Illinois",33926.0,31089.000000000004
17145,"Perry County, Illinois",2634.0,5833.0
17147,"Piatt County, Illinois",2631.0,4985.0
17149,"Pike County, Illinois",1392.0,5050.0
17151,"Pope County, Illinois",396.0,1373.0
17153,"Pulaski County, Illinois",938.0000000000001,1442.0
17155,"Putnam County, Illinois",1094.0,1487.0
17157,"Randolph County, Illinois",4317.0,7672.0
17159,"Richland County, Illinois",1597.0,4438.0
17161,"Rock Island County, Illinois",32765.0,17992.0
17163,"St. Clair County, Illinois",54108.0,41387.0
17165,"Saline County, Illinois",2711.0,6676.0
17167,"Sangamon County, Illinois",36533.0,49205.0
17169,"Schuyler County, Illinois",862.0,2242.0
17171,"Scott County, Illinois",410.00000000000006,1629.9999999999998
