state_id,fips,name,county_dem_result,county_rep_result
GA,13279,Toombs,2157,6580
GA,13283,Treutlen,749,1763
GA,13309,Wheeler,546,1345
IA,19005,Allamakee,2353,3073
IA,19011,Benton,4698,6465
IA,19013,Black Hawk,29667,22103
IA,19017,Bremer,5182,5908
IA,19019,Buchanan,3977,4166
IA,19043,Clayton,3311,4320
IA,19055,Delaware,2810,4475
IA,19061,Dubuque,22359,19282
IA,19065,Fayette,3701,4167
IA,19089,Howard,1587,1878
IA,19095,Iowa,3099,4203
IA,19097,Jackson,3797,4483
IA,19105,Jones,3787,4490
IA,19113,Linn,57712,40733
IA,19127,Marshall,6611,7124
IA,19131,Mitchell,1836,2518
IA,19157,Poweshiek,3966,4044
IA,19171,Tama,3257,3780
IA,19191,Winneshiek,5102,4364
IA,19195,Worth,1530,1866
SC,45025,Chesterfield,5099,6903
SC,45031,Darlington,10976,12301
SC,45033,Dillon,4008,4206
SC,45041,Florence,21731,23745
SC,45043,Georgetown,11057,14759
SC,45051,Horry,35659,74987
SC,45067,Marion,6279,4194
SC,45069,Marlboro,4363,3340
RI,44001,BRISTOL,13493,7568
RI,44005,NEWPORT,21189,12257
RI,44007,PROVIDENCE,131011,64528
FL,12031,Duval,179664,189024
FL,12089,Nassau,9895,32571
FL,12109,St. Johns,40858,85608
OR,41007,Clatsop,11101,6526
OR,41009,Columbia,12130,10642
OR,41051,Multnomah,288509,57182
OR,41067,Washington,158464,75189
OR,41071,Yamhill,21793,19906
IN,18021,Clay,2207,7040
IN,18025,Crawford,1575,2339
IN,18027,Daviess,1627,7026
IN,18037,Dubois,4932,11389
IN,18051,Gibson,3491,8889
IN,18055,Greene,2786,7767
IN,18083,Knox,3489,8763
IN,18101,Martin,1029,3185
IN,18119,Owen,2129,4946
IN,18121,Parke,1342,3972
IN,18123,Perry,3119,3914
IN,18125,Pike,1543,3539
IN,18129,Posey,3543,7051
IN,18147,Spencer,2879,5722
IN,18153,Sullivan,2237,5057
IN,18163,Vanderburgh,25679,32428
IN,18165,Vermillion,1970,3412
IN,18167,Vigo,13844,17576
IN,18173,Warrick,8871,15357
LA,22009,Avoyelles,2816,7417
LA,22021,Caldwell,449,2532
LA,22025,Catahoula,816,2365
LA,22029,Concordia,2013,3813
LA,22035,East Carroll,1071,1117
LA,22037,East Feliciana,2497,4028
LA,22041,Franklin,1217,5263
LA,22043,Grant,669,5126
LA,22049,Jackson,1537,3801
LA,22059,LaSalle,359,4117
LA,22061,Lincoln,4459,8256
LA,22065,Madison,1480,1621
LA,22067,Morehouse,3030,4759
LA,22073,Ouachita,14429,31176
LA,22079,Rapides,12087,27235
LA,22083,Richland,1680,5149
LA,22091,St. Helena,2089,2007
LA,22097,St. Landry,10890,15200
LA,22105,Tangipahoa,11257,24514
LA,22107,Tensas,770,1021
LA,22117,Washington,3599,8376
LA,22123,West Carroll,363,2634
LA,22125,West Feliciana,1505,2875
LA,22127,Winn,911,2854
NY,36059,Nassau,268623,202803
UT,49007,Carbon,1804,4726
UT,49015,Emery,438,3208
UT,49019,Grand,2231,1961
UT,49035,Salt Lake,225189,177093
UT,49037,San Juan,2283,2761
UT,49049,Utah,32521,131951
UT,49051,Wasatch,3657,7894
TX,48113,Dallas,460156,212517
TN,47001,Anderson,8703,16420
TN,47011,Bradley,7270,23702
TN,47013,Campbell,1950,7638
TN,47065,Hamilton,57681,73047
TN,47107,McMinn,3238,11966
TN,47123,Monroe,3035,10979
TN,47129,Morgan,1099,4255
TN,47139,Polk,1399,4253
TN,47145,Roane,4730,13770
TN,47151,Scott,795,4217
TN,47173,Union,989,3772
FL,12021,Collier,55337,99206
FL,12051,Hendry,3557,5051
NC,37015,Bertie,4419,2471
NC,37063,Durham,104343,23308
NC,37065,Edgecombe,11504,5908
NC,37073,Gates,2149,2050
NC,37077,Granville,10661,10258
NC,37083,Halifax,10821,6584
NC,37091,Hertford,5509,2296
NC,37117,Martin,4766,4327
NC,37131,Northampton,4609,2701
NC,37147,Pitt,16025,7189
NC,37181,Vance,8768,5373
NC,37185,Warren,4932,2502
NC,37187,Washington,2804,1929
CO,08015,Chaffee,5506,5035
CO,08041,El Paso,109510,155070
CO,08043,Fremont,5972,12752
CO,08119,Teller,4042,8375
MI,26001,Alcona,1727,3721
MI,26003,Alger,1915,2211
MI,26007,Alpena,5233,7638
MI,26009,Antrim,4975,7792
MI,26013,Baraga,1309,1916
MI,26019,Benzie,4551,5127
MI,26029,Charlevoix,5624,7901
MI,26031,Cheboygan,4660,7739
MI,26033,Chippewa,5575,8311
MI,26039,Crawford,2268,3912
MI,26041,Delta,6972,9351
MI,26043,Dickinson,4191,7124
MI,26047,Emmet,7756,10018
MI,26053,Gogebic,3171,3309
MI,26055,Grand Traverse,23648,24855
MI,26061,Houghton,6477,7759
MI,26071,Iron,2264,3106
MI,26079,Kalkaska,2852,5406
MI,26083,Keweenaw,580,726
MI,26089,Leelanau,7295,6816
MI,26095,Luce,815,1554
MI,26097,Mackinac,2185,3476
MI,26101,Manistee,5257,6334
MI,26103,Marquette,16978,12753
MI,26105,Mason,5535,7815
MI,26109,Menominee,3471,5243
MI,26119,Montmorency,1471,3094
MI,26131,Ontonagon,1338,1786
MI,26135,Oscoda,1155,2513
MI,26137,Otsego,3952,7301
MI,26141,Presque Isle,2659,3980
MI,26153,Schoolcraft,1530,2178
CA,06007,Butte,48127,41063
CA,06021,Glenn,3030,5225
CA,06035,Lassen,2456,6556
CA,06049,Modoc,1041,2421
CA,06057,Nevada,31666,22567
CA,06061,Placer,81259,93417
CA,06063,Plumas,4003,5221
CA,06089,Shasta,24755,45308
CA,06091,Sierra,707,956
CA,06093,Siskiyou,8391,9792
CA,06103,Tehama,7021,13885
SC,45003,Aiken,21760,37338
SC,45011,Barnwell,3400,3900
SC,45063,Lexington,33072,64673
SC,45075,Orangeburg,21393,8991
SC,45079,Richland,95380,43768
TX,48009,Archer,310,3249
TX,48011,Armstrong,57,808
TX,48023,Baylor,131,1083
TX,48045,Briscoe,57,558
TX,48065,Carson,197,2216
TX,48075,Childress,201,1541
TX,48077,Clay,458,3770
TX,48087,Collingsworth,91,832
TX,48097,Cooke,2175,11974
TX,48101,Cottle,87,460
TX,48111,Dallam,121,969
TX,48117,Deaf Smith,921,2792
TX,48125,Dickens,94,654
TX,48129,Donley,113,1134
TX,48153,Floyd,415,1442
TX,48155,Foard,101,324
TX,48179,Gray,528,5301
TX,48191,Hall,140,809
TX,48195,Hansford,99,1565
TX,48197,Hardeman,145,1000
TX,48205,Hartley,123,1483
TX,48211,Hemphill,124,1234
TX,48233,Hutchinson,627,5909
TX,48237,Jack,265,2501
TX,48269,King,3,124
TX,48275,Knox,204,870
TX,48295,Lipscomb,95,954
TX,48337,Montague,810,6474
TX,48341,Moore,697,3300
TX,48345,Motley,39,480
TX,48357,Ochiltree,184,2181
TX,48359,Oldham,58,749
TX,48375,Potter,6471,17450
TX,48381,Randall,7705,39701
TX,48393,Roberts,16,442
TX,48421,Sherman,69,707
TX,48437,Swisher,372,1493
TX,48483,Wheeler,115,1674
TX,48485,Wichita,8362,24779
TX,48487,Wilbarger,686,2759
TX,48497,Wise,3299,19142
TX,48139,Ellis,18022,40883
TX,48349,Navarro,3780,10363
TX,48439,Tarrant,286967,324717
FL,12097,Osceola,71924,41829
FL,12105,Polk,107853,131483
NY,36029,Erie,219877,111123
NY,36063,Niagara,37399,32647
TX,48367,Parker,8015,45468
KY,21015,Boone,12548,27912
KY,21019,Boyd,5788,8913
KY,21023,Bracken,790,1947
KY,21037,Campbell,13111,19605
KY,21041,Carroll,1350,1904
KY,21077,Gallatin,898,1876
KY,21081,Grant,1816,5205
KY,21089,Greenup,4468,8101
KY,21097,Harrison,2260,4094
KY,21103,Henry,2230,3735
KY,21111,Jefferson,177174,109012
KY,21117,Kenton,20196,30878
KY,21135,Lewis,516,2620
KY,21161,Mason,1779,3666
KY,21185,Oldham,9824,16495
KY,21187,Owen,1168,2784
KY,21191,Pendleton,1193,3242
KY,21211,Shelby,5982,10567
KY,21215,Spencer,2000,5760
KY,21223,Trimble,1030,1858
NC,37017,Bladen,5914,6712
NC,37019,Brunswick,22840,35312
NC,37047,Columbus,7276,11069
NC,37061,Duplin,6221,8920
NC,37129,New Hanover,46155,41286
NC,37141,Pender,7786,12510
NC,37163,Sampson,7468,11441
NC,37191,Wayne,15733,20305
TX,48001,Anderson,3162,11421
TX,48073,Cherokee,3186,11606
TX,48213,Henderson,4892,21484
TX,48257,Kaufman,11205,26727
TX,48467,Van Zandt,2490,15246
TX,48499,Wood,2550,14071
WI,55021,Columbia,14002,12469
WI,55039,Fond du Lac,17748,27029
WI,55047,Green Lake,2883,5191
WI,55071,Manitowoc,15418,19657
WI,55077,Marquette,2970,4098
WI,55089,Ozaukee,20125,30599
WI,55117,Sheboygan,22101,30019
WI,55137,Waushara,4088,6414
WI,55139,Winnebago,37865,37024
CA,06011,Colusa,2411,3277
CA,06033,Lake,12704,3890
CA,06067,Sacramento,351612,137314
CA,06095,Solano,95638,37498
CA,06101,Sutter,13572,16108
CA,06113,Yolo,55939,15479
CA,06115,Yuba,8044,10946
WA,53009,Clallam,22633,16551
WA,53027,Grays Harbor,15530,12646
WA,53031,Jefferson,15076,5591
WA,53035,Kitsap,76746,42628
WA,53045,Mason,14834,12606
WA,53053,Pierce,190985,129121
TX,48201,Harris,675409,488140
UT,49023,Juab,780,2914
UT,49039,Sanpete,1576,7397
TX,48039,Brazoria,42181,66638
TX,48167,Galveston,42187,68811
TX,48245,Jefferson,36170,36974
VA,51001,Accomack,5729,7025
VA,51650,Hampton,6820,5927
VA,51095,James City,18412,20346
VA,51710,Norfolk,13998,9421
VA,51131,Northampton,2807,2312
VA,51735,Poquoson,1555,4429
VA,51810,Virginia Beach,86822,82586
VA,51830,Williamsburg,4408,1787
VA,51199,York,12960,16067
OH,39099,Mahoning,50976,40232
PA,42003,Allegheny,146310,102697
PA,42007,Beaver,32821,35108
PA,42019,Butler,28499,50376
ME,23005,CUMBERLAND,98855,43112
ME,23013,KNOX,12689,6578
ME,23015,LINCOLN,10409,7506
ME,23023,SAGADAHOC,10634,7301
ME,23031,YORK,50588,33933
TX,48007,Aransas,2021,6676
TX,48021,Bastrop,11202,15019
TX,48055,Caldwell,5268,5798
TX,48057,Calhoun,1767,4159
TX,48177,Gonzales,1309,4173
TX,48239,Jackson,763,3932
TX,48285,La Vaca,920,6699
