State,County,District,DemVotes,RepVotes,OtherVotes
california,Sonoma,2,42795,13529,0
california,Humboldt,2,19433,9615,0
california,Mendocino,2,10679,4768,0
california,Del Norte,2,3761,4191,0
california,Trinity,2,2489,2553,0
california,Fresno,22,47995,57326,0
california,Tulare,22,18279,24220,0
california,Kern,21,20156,13692,0
california,Fresno,21,12367,14309,0
california,Kings,21,8067,14417,0
california,Tulare,21,799,1052,0
california,Fresno,16,24456,13378,0
california,Merced,16,16542,15411,0
california,Madera,16,8635,11852,0
california,San Diego,51,50070,21849,0
california,Imperial,51,13439,7358,0
california,San Bernardino,8,0,112411,0
california,Inyo,8,0,5945,0
california,Mono,8,0,3665,0
california,Kern,23,50150,99506,0
california,Los Angeles,23,7170,9461,0
california,Tulare,23,3994,6615,0
california,Los Angeles,34,74537,0,26160
california,Los Angeles,25,72390,65103,0
california,Ventura,25,17908,19169,0
california,Ventura,26,104302,69419,0
california,Los Angeles,26,1841,1542,0
california,Los Angeles,27,134932,0,0
california,San Bernardino,27,8755,0,0
california,Los Angeles,28,136546,41563,0
california,Los Angeles,29,83447,21929,0
california,Los Angeles,30,134067,52708,0
california,Ventura,30,440,339,0
california,Los Angeles,32,83882,41781,0
california,Los Angeles,33,155546,71823,0
california,San Bernardino,35,50154,26231,0
california,Los Angeles,35,15531,5525,0
california,Los Angeles,37,143287,19081,0
california,Los Angeles,38,93815,45604,0
california,Orange,38,1938,1811,0
california,Orange,39,52907,60190,0
california,Los Angeles,39,23775,18446,0
california,San Bernardino,39,8820,9287,0
california,Los Angeles,40,63540,0,18131
california,Los Angeles,43,102863,32782,0
california,Los Angeles,44,98366,0,0
california,Los Angeles,47,64280,28063,0
california,Orange,47,31003,28918,0
california,Monterey,20,62001,0,17133
california,Santa Cruz,20,33121,0,6220
california,San Benito,20,8519,0,3690
california,Santa Clara,20,2251,0,613
california,Orange,48,109591,101081,0
california,Orange,45,105123,107132,0
california,Orange,46,58816,31926,0
california,San Diego,49,91829,65925,0
california,Orange,49,24983,30180,0
california,Riverside,36,59343,45931,0
california,Riverside,41,45606,29919,0
california,Riverside,42,44671,65166,0
california,San Diego,50,77425,86646,0
california,Riverside,50,5619,7888,0
california,Sacramento,6,90881,0,0
california,Yolo,6,8765,0,0
california,Sacramento,7,77165,65691,0
california,San Bernardino,31,71549,54219,0
california,San Diego,52,129437,78384,0
california,San Diego,53,119464,58815,0
california,San Francisco,12,221307,34755,0
california,San Mateo,14,68275,22383,0
california,San Francisco,14,25902,5575,0
california,Stanislaus,10,72107,69307,0
california,San Joaquin,10,18389,17816,0
california,Santa Barbara,24,59528,40468,0
california,San Luis Obispo,24,49884,43743,0
california,Ventura,24,1818,1033,0
california,Santa Clara,18,110854,41943,0
california,San Mateo,18,13767,5152,0
california,Santa Cruz,18,10354,4056,0
california,Santa Clara,19,124067,46201,0
colorado,Jefferson,7,92439,57045,4942
colorado,Adams,7,53945,33572,3637
colorado,Douglas,4,35659,55238,0
colorado,Weld,4,29027,51093,0
colorado,Boulder,4,20110,11020,0
colorado,Elbert,4,3263,10809,0
colorado,Morgan,4,2650,7161,0
colorado,Logan,4,1648,5986,0
colorado,Las Animas,4,2927,3142,0
colorado,Prowers,4,1085,2990,0
colorado,Yuma,4,646,3399,0
colorado,Adams,4,671,2194,0
colorado,Otero,4,1012,1821,0
colorado,Arapahoe,4,547,2064,0
colorado,Kit Carson,4,419,2087,0
colorado,Washington,4,271,2092,0
colorado,Lincoln,4,367,1701,0
colorado,Phillips,4,398,1631,0
colorado,Baca,4,320,1528,0
colorado,Bent,4,643,1199,0
colorado,Crowley,4,405,950,0
colorado,Sedgwick,4,269,931,0
colorado,Cheyenne,4,127,829,0
colorado,Kiowa,4,96,669,0
colorado,Arapahoe,6,105981,79234,4768
colorado,Douglas,6,21639,24655,979
colorado,Adams,6,16804,16794,1287
colorado,Mesa,3,19378,38445,3249
colorado,Pueblo,3,22725,24272,3069
colorado,La Plata,3,14335,10803,1179
colorado,Garfield,3,8957,9330,640
colorado,Montrose,3,5330,12690,867
colorado,Eagle,3,8414,5610,441
colorado,Delta,3,4157,9053,569
colorado,Routt,3,7760,4215,389
colorado,Montezuma,3,3451,5629,414
colorado,Pitkin,3,5710,1942,184
colorado,Gunnison,3,4040,2499,263
colorado,Archuleta,3,2619,3826,329
colorado,Alamosa,3,2847,2958,233
colorado,Moffat,3,839,4340,204
colorado,Rio Grande,3,1794,2929,204
colorado,Huerfano,3,1631,1764,234
colorado,Conejos,3,1535,1880,124
colorado,Rio Blanco,3,368,2401,108
colorado,Ouray,3,1630,1129,94
colorado,Lake,3,1629,1048,157
colorado,Custer,3,763,1833,129
colorado,Saguache,3,1488,1045,119
colorado,San Miguel,3,1547,425,62
colorado,Costilla,3,749,433,47
colorado,Dolores,3,254,852,63
colorado,Jackson,3,138,599,39
colorado,Mineral,3,246,326,29
colorado,Hinsdale,3,211,321,26
colorado,San Juan,3,264,172,21
colorado,Denver,1,115460,30572,3683
colorado,Jefferson,1,13423,14480,669
colorado,Arapahoe,1,11821,6565,541
colorado,Larimer,2,72407,57683,7527
colorado,Boulder,2,69438,14973,3407
colorado,Jefferson,2,18658,16922,1833
colorado,Broomfield,2,16310,10441,1629
colorado,Summit,2,7085,3401,787
colorado,Clear Creek,2,2753,1995,394
colorado,Grand,2,2184,2402,351
colorado,Park,2,1609,2545,376
colorado,Eagle,2,2809,1214,254
colorado,Gilpin,2,1727,1296,300
colorado,El Paso,5,71971,108947,6019
colorado,Fremont,5,5951,12713,770
colorado,Chaffee,5,5449,4980,339
colorado,Park,5,1803,2738,181
colorado,Teller,5,1201,2340,97
connecticut,New Haven,5,51035,32849,0
connecticut,Hartford,5,42071,27159,0
connecticut,Fairfield,5,33027,26268,0
connecticut,Litchfield,5,27524,27878,0
connecticut,New Haven,3,142468,79722,0
connecticut,Middlesex,3,14115,7688,0
connecticut,Fairfield,3,13808,7940,0
connecticut,Fairfield,4,162820,102144,0
connecticut,New Haven,4,2467,4019,0
connecticut,New London,2,69343,32887,2407
connecticut,Tolland,2,40336,22606,1647
connecticut,Middlesex,2,25623,16843,827
connecticut,Windham,2,24346,16164,1343
connecticut,Hartford,2,14445,10206,562
connecticut,New Haven,2,5881,3872,139
connecticut,Hartford,1,158175,81380,1786
connecticut,Litchfield,1,7413,9006,247
connecticut,Middlesex,1,7724,5590,129
delaware,New Castle,1,150129,56206,0
delaware,Sussex,1,44048,44615,0
delaware,Kent,1,33164,24552,0
florida,Alachua,3,70893,43579,0
florida,Clay,3,26000,66724,0
florida,Marion,3,21064,34867,0
florida,Putnam,3,8489,19491,0
florida,Bradford,3,2460,7983,0
florida,Union,3,898,3963,0
florida,Duval,5,100420,47540,0
florida,Leon,5,53104,17176,0
florida,Gadsden,5,14610,5355,0
florida,Baker,5,1966,8448,0
florida,Madison,5,3455,4098,0
florida,Jefferson,5,3484,3136,0
florida,Hamilton,5,1754,2746,0
florida,Columbia,5,1664,1291,0
florida,Leon,2,36528,31394,0
florida,Bay,2,15808,47349,0
florida,Marion,2,9178,16711,0
florida,Columbia,2,5273,16268,0
florida,Levy,2,4715,12168,0
florida,Suwannee,2,3472,12376,0
florida,Jackson,2,4890,10934,0
florida,Wakulla,2,4467,9619,0
florida,Washington,2,1792,7226,0
florida,Taylor,2,1981,5879,0
florida,Gilchrist,2,1324,5991,0
florida,Gulf,2,1458,4410,0
florida,Dixie,2,989,4748,0
florida,Franklin,2,1800,3578,0
florida,Calhoun,2,920,3661,0
florida,Lafayette,2,1131,2328,0
florida,Liberty,2,580,2077,0
florida,Holmes,2,293,2135,0
florida,Jefferson,2,235,432,0
florida,Brevard,8,112928,167638,0
florida,Indian River,8,26998,46746,0
florida,Orange,8,2421,3719,0
florida,error,24,error,error,error
florida,Broward,20,147128,0,0
florida,Palm Beach,20,55077,0,0
florida,Broward,22,148498,85542,0
florida,Palm Beach,22,35647,27245,0
florida,Broward,23,148690,89214,14352
florida,Miami-Dade,23,12767,10158,943
florida,Sarasota,17,0,57009,38564
florida,Charlotte,17,0,53370,32613
florida,Highlands,17,0,25912,13295
florida,Lee,17,0,19499,11735
florida,Polk,17,0,17260,11194
florida,Okeechobee,17,0,7663,3413
florida,DeSoto,17,0,5557,3253
florida,Hardee,17,0,4425,1901
florida,Glades,17,0,2597,1184
florida,Hernando,11,30376,49351,0
florida,Sumter,11,22198,51624,0
florida,Lake,11,25863,46685,0
florida,Marion,11,27192,43860,0
florida,Citrus,11,22377,47837,0
florida,Lee,19,100128,155039,0
florida,Collier,19,27928,56421,0
florida,Miami-Dade,25,53148,80827,0
florida,Collier,25,27381,42774,0
florida,Hendry,25,3554,5049,0
florida,Duval,4,79169,141458,5982
florida,St. Johns,4,34226,74362,2716
florida,Nassau,4,9891,32565,778
florida,Escambia,1,54696,73728,0
florida,Okaloosa,1,23668,60202,0
florida,Santa Rosa,1,19931,55509,0
florida,Walton,1,7325,22855,0
florida,Holmes,1,494,3827,0
florida,Volusia,6,103746,122577,0
florida,Flagler,6,21624,30582,0
florida,Lake,6,13730,23468,0
florida,St. Johns,6,6607,11235,0
florida,Hillsborough,14,1,0,0
florida,Pasco,12,80621,124947,5206
florida,Pinellas,12,49776,65437,2184
florida,Hillsborough,12,2424,4157,115
florida,Manatee,16,67607,95105,0
florida,Sarasota,16,56168,57533,0
florida,Hillsborough,16,40588,44789,0
florida,Hillsborough,15,70065,71767,0
florida,Polk,15,42795,56843,0
florida,Lake,15,21207,22755,0
florida,Palm Beach,18,66040,73668,0
florida,St. Lucie,18,62260,61640,0
florida,Martin,18,27681,50228,0
florida,Miami-Dade,27,130671,115575,6255
florida,Miami-Dade,26,103104,96362,0
florida,Monroe,26,16642,19295,0
florida,Orange,10,1,0,0
florida,Osceola,9,71917,41821,0
florida,Polk,9,53845,57383,0
florida,Orange,9,46372,25345,0
florida,Seminole,7,106325,91415,0
florida,Orange,7,76760,42879,0
florida,Palm Beach,21,3,0,0
florida,Pinellas,13,182643,134238,0
georgia,Richmond,12,45714,23707,0
georgia,Columbia,12,16682,35630,0
georgia,Bulloch,12,8473,14952,0
georgia,Laurens,12,6119,12424,0
georgia,Coffee,12,3469,8841,0
georgia,Toombs,12,2156,6579,0
georgia,Effingham,12,1832,6884,0
georgia,Burke,12,4114,4492,0
georgia,Emanuel,12,2165,5406,0
georgia,Appling,12,1316,5342,0
georgia,Tattnall,12,1498,5022,0
georgia,Screven,12,2121,3216,0
georgia,Jeff Davis,12,787,3896,0
georgia,Candler,12,952,2543,0
georgia,Montgomery,12,792,2653,0
georgia,Evans,12,1012,2371,0
georgia,Jenkins,12,967,1884,0
georgia,Treutlen,12,749,1763,0
georgia,Wheeler,12,546,1345,0
georgia,Houston,8,0,43794,0
georgia,Lowndes,8,0,25382,0
georgia,Bibb,8,0,15326,0
georgia,Thomas,8,0,12863,0
georgia,Tift,8,0,11191,0
georgia,Colquitt,8,0,10819,0
georgia,Monroe,8,0,10529,0
georgia,Jones,8,0,9781,0
georgia,Worth,8,0,6512,0
georgia,Dodge,8,0,5751,0
georgia,Berrien,8,0,5633,0
georgia,Cook,8,0,4849,0
georgia,Ben Hill,8,0,4316,0
georgia,Brooks,8,0,4167,0
georgia,Bleckley,8,0,4100,0
georgia,Irwin,8,0,2960,0
georgia,Pulaski,8,0,2881,0
georgia,Wilkinson,8,0,2807,0
georgia,Telfair,8,0,2652,0
georgia,Turner,8,0,2635,0
georgia,Twiggs,8,0,2593,0
georgia,Wilcox,8,0,2304,0
georgia,Lanier,8,0,2209,0
georgia,Atkinson,8,0,2023,0
georgia,Chatham,1,59660,42901,0
georgia,Glynn,1,11361,20760,0
georgia,Camden,1,5725,11167,0
georgia,Liberty,1,9449,5760,0
georgia,Bryan,1,4307,10585,0
georgia,Effingham,1,3231,11194,0
georgia,Ware,1,3010,7906,0
georgia,Wayne,1,1974,8044,0
georgia,Pierce,1,741,6074,0
georgia,Brantley,1,529,5084,0
georgia,McIntosh,1,2068,3251,0
georgia,Long,1,1335,2609,0
georgia,Bacon,1,484,3260,0
georgia,Charlton,1,808,2520,0
georgia,Clinch,1,511,1688,0
georgia,Lowndes,1,532,844,0
georgia,Echols,1,122,1001,0
georgia,Muscogee,2,32643,12037,0
georgia,Bibb,2,27749,10909,0
georgia,Dougherty,2,22486,8414,0
georgia,Lee,2,4145,9270,0
georgia,Sumter,2,5818,4609,0
georgia,Peach,2,5148,5123,0
georgia,Decatur,2,3871,5138,0
georgia,Grady,2,3136,5148,0
georgia,Mitchell,2,3721,3630,0
georgia,Crisp,2,3103,3802,0
georgia,Crawford,2,1507,3351,0
georgia,Macon,2,2777,1354,0
georgia,Early,2,2135,1957,0
georgia,Terrell,2,2365,1517,0
georgia,Dooly,2,2021,1649,0
georgia,Taylor,2,1361,1894,0
georgia,Seminole,2,1265,1922,0
georgia,Marion,2,1168,1720,0
georgia,Talbot,2,1814,1067,0
georgia,Randolph,2,1710,1023,0
georgia,Miller,2,670,1569,0
georgia,Schley,2,453,1449,0
georgia,Calhoun,2,1287,586,0
georgia,Stewart,2,1097,625,0
georgia,Baker,2,649,606,0
georgia,Clay,2,725,438,0
georgia,Webster,2,484,606,0
georgia,Chattahoochee,2,541,546,0
georgia,Quitman,2,465,449,0
georgia,Walton,10,8480,29667,0
georgia,Clarke,10,26108,11593,0
georgia,Gwinnett,10,13338,18579,0
georgia,Barrow,10,6790,20240,0
georgia,Henry,10,7419,15352,0
