CONGRESS 2002 to 2010 in ALABAMA
,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Alabama,N/A,2010,District 5,5,20020101,"131,109","Brooks, Mo",Challenger,"95,192","Raby, Steve",Challenger,N/A,N/A,N/A,N/A,189,"35,917",R,.00,57.94,42.06,
House,Alabama,N/A,2008,District 5,5,20020101,"147,314","Parker, Wayne",Challenger,"158,324","Griffith, Parker",Challenger,N/A,N/A,N/A,N/A,"1,644","11,010",D,.00,48.20,51.80,
House,Alabama,N/A,2006,District 5,5,20020101,N/A,N/A,N/A,"143,015","Cramer, Robert E.",Incumbent,N/A,N/A,N/A,N/A,"2,540","143,015",D,.00,.00,100.00,
House,Alabama,N/A,2004,District 5,5,20020101,"74,145","Wallace, Gerald C.",Challenger,"200,999","Cramer, Robert E.",Incumbent,Write-in,315,"Other/Unknown, NULL",Challenger,N/A,"126,854",D,.11,26.95,73.05,
House,Alabama,N/A,2002,District 5,5,20020101,"48,226","Engel, Stephen P.",Challenger,"143,029","Cramer, Robert E.",Challenger,N/A,N/A,N/A,N/A,"3,916","94,803",D,.00,25.22,74.78,
House,Alabama,N/A,2010,District 6,6,20020101,"205,288","Bachus, Spencer",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"4,076","205,288",R,.00,100.00,.00,
House,Alabama,N/A,2008,District 6,6,20020101,"280,902","Bachus, Spencer",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"6,335","280,902",R,.00,100.00,.00,
House,Alabama,N/A,2006,District 6,6,20020101,"163,514","Bachus, Spencer",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2,786","163,514",R,.00,100.00,.00,
House,Alabama,N/A,2004,District 6,6,20020101,"264,819","Bachus, Spencer",Incumbent,N/A,N/A,N/A,Write-in,"3,224","Other/Unknown, NULL",Challenger,N/A,"261,595",R,1.20,100.00,.00,
House,Alabama,N/A,2002,District 6,6,20020101,"178,171","Bachus, Spencer",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"20,175","178,171",R,.00,100.00,.00,
House,Alabama,N/A,2010,District 7,7,20020101,"51,890","Chamberlain, Don",Challenger,"136,696","Sewell, Terri A.",Challenger,N/A,N/A,N/A,N/A,138,"84,806",D,.00,27.52,72.48,
House,Alabama,N/A,2008,District 7,7,20020101,N/A,N/A,N/A,"228,518","Davis, Artur",Incumbent,N/A,N/A,N/A,N/A,"3,183","228,518",D,.00,.00,100.00,
House,Alabama,N/A,2006,District 7,7,20020101,N/A,N/A,N/A,"133,870","Davis, Artur",Incumbent,N/A,N/A,N/A,N/A,"1,294","133,870",D,.00,.00,100.00,
House,Alabama,N/A,2004,District 7,7,20020101,"61,019","Cameron, Steve F.",Challenger,"183,408","Davis, Artur",Incumbent,American Labor,211,"Other/Unknown, NULL",Challenger,N/A,"122,389",D,.09,24.96,75.04,
House,Alabama,N/A,2002,District 7,7,20020101,N/A,N/A,N/A,"153,735","Davis, Artur",Challenger,N/A,N/A,N/A,N/A,"12,574","153,735",D,.00,.00,100.00,
,
,
,
CONGRESS 2002 to 2010 in ALASKA
,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Alaska,N/A,2010,At Large,1,N/A,"175,384","Young, Don",Incumbent,"77,606","Crawford, Harry T.",Challenger,N/A,N/A,N/A,N/A,"1,345","97,778",R,.00,69.32,30.68,
House,Alaska,N/A,2008,At Large,1,N/A,"158,939","Young, Don",Incumbent,"142,560","Berkowitz, Ethan A.",Challenger,N/A,N/A,N/A,N/A,"15,479","16,379",R,.00,52.72,47.28,
House,Alaska,N/A,2006,At Large,1,N/A,"132,743","Young, Don",Incumbent,"93,879","Benson, Diane E.",Challenger,N/A,N/A,N/A,N/A,"8,023","38,864",R,.00,58.57,41.43,
House,Alaska,N/A,2004,At Large,1,N/A,"213,216","Young, Don",Incumbent,"67,074","Higgins, Thomas M.",Challenger,Write-in,"19,706","Other/Unknown, NULL",Challenger,N/A,"146,142",R,6.57,76.07,23.93,
House,Alaska,N/A,2002,At Large,1,N/A,"169,685","Young, Don",Incumbent,"39,357","Greene, Clifford",Challenger,N/A,N/A,N/A,N/A,"18,683","130,328",R,.00,81.17,18.83,
,
,
,
CONGRESS 2002 to 2010 in ARIZONA
,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Arizona,N/A,2010,District 1,1,20020101,"112,816","Gosar, Paul",Challenger,"99,233","Kirkpatrick, Ann",Incumbent,N/A,N/A,N/A,N/A,"14,869","13,583",R,.00,53.20,46.80,
House,Arizona,N/A,2008,District 1,1,20020101,"109,924","Hay, Sydney Ann",Challenger,"155,791","Kirkpatrick, Ann",Challenger,N/A,N/A,N/A,N/A,"13,072","45,867",D,.00,41.37,58.63,
House,Arizona,N/A,2006,District 1,1,20020101,"105,646","Renzi, Richard",Incumbent,"88,691","Simon, Ellen",Challenger,N/A,N/A,N/A,N/A,"9,802","16,955",R,.00,54.36,45.64,
House,Arizona,N/A,2004,District 1,1,20020101,"148,315","Renzi, Richard",Incumbent,"91,776","Babbitt, Paul",Challenger,Libertarian,"13,260","Crockett, John B.",Challenger,N/A,"56,539",R,5.23,61.77,38.23,
House,Arizona,N/A,2002,District 1,1,20020101,"85,967","Renzi, Richard",Challenger,"79,730","Cordova, George",Challenger,N/A,N/A,N/A,N/A,"8,990","6,237",R,.00,51.88,48.12,
House,Arizona,N/A,2010,District 2,2,20020101,"173,173","Franks, Trent",Incumbent,"82,891","Thrasher, John",Challenger,N/A,N/A,N/A,N/A,"10,830","90,282",R,.00,67.63,32.37,
House,Arizona,N/A,2008,District 2,2,20020101,"200,914","Franks, Trent",Incumbent,"125,611","Thrasher, John",Challenger,N/A,N/A,N/A,N/A,"11,498","75,303",R,.00,61.53,38.47,
House,Arizona,N/A,2006,District 2,2,20020101,"135,150","Franks, Trent",Incumbent,"89,671","Thrasher, John",Challenger,N/A,N/A,N/A,N/A,"5,739","45,479",R,.00,60.11,39.89,
House,Arizona,N/A,2004,District 2,2,20020101,"165,260","Franks, Trent",Incumbent,"107,406","Camacho, Randy",Challenger,Libertarian,"6,625","Gammill, Powell E.",Challenger,12,"57,854",R,2.37,60.61,39.39,"The other vote was: Crum, William S. (Write-in) 12"
House,Arizona,N/A,2002,District 2,2,20020101,"100,359","Franks, Trent",Challenger,"61,217","Camacho, Randy",Challenger,N/A,N/A,N/A,N/A,"5,926","39,142",R,.00,62.11,37.89,
House,Arizona,N/A,2010,District 3,3,20020101,"108,689","Quayle, Ben",Challenger,"85,610","Hulburd, Jon",Challenger,N/A,N/A,N/A,N/A,"13,772","23,079",R,.00,55.94,44.06,
House,Arizona,N/A,2008,District 3,3,20020101,"148,800","Shadegg, John",Incumbent,"115,759","Lord, Bob",Challenger,N/A,N/A,N/A,N/A,"10,602","33,041",R,.00,56.24,43.76,
House,Arizona,N/A,2006,District 3,3,20020101,"112,519","Shadegg, John",Incumbent,"72,586","Paine, Herb",Challenger,N/A,N/A,N/A,N/A,"4,744","39,933",R,.00,60.79,39.21,
House,Arizona,N/A,2004,District 3,3,20020101,"181,012","Shadegg, John",Incumbent,N/A,N/A,N/A,Libertarian,"44,962","Yannone, Mark J.",Challenger,N/A,"136,050",R,19.90,100.00,.00,
House,Arizona,N/A,2002,District 3,3,20020101,"104,847","Shadegg, John",Incumbent,"47,173","Hill, Charles",Challenger,N/A,N/A,N/A,N/A,"3,731","57,674",R,.00,68.97,31.03,
House,Arizona,N/A,2010,District 4,4,20020101,"25,300","Contreras, Janet",Challenger,"61,524","Pastor, Ed",Incumbent,N/A,N/A,N/A,N/A,"5,083","36,224",D,.00,29.14,70.86,
House,Arizona,N/A,2008,District 4,4,20020101,"26,435","Karg, Don",Challenger,"89,721","Pastor, Ed",Incumbent,N/A,N/A,N/A,N/A,"8,271","63,286",D,.00,22.76,77.24,
House,Arizona,N/A,2006,District 4,4,20020101,"18,627","Karg, Don",Challenger,"56,464","Pastor, Ed",Incumbent,N/A,N/A,N/A,N/A,"2,770","37,837",D,.00,24.81,75.19,
House,Arizona,N/A,2004,District 4,4,20020101,"28,238","Karg, Don",Challenger,"77,150","Pastor, Ed",Incumbent,Libertarian,"4,639","Fallon, Gary",Challenger,N/A,"48,912",D,4.22,26.79,73.21,
House,Arizona,N/A,2002,District 4,4,20020101,"18,381","Barnert, Jonathan",Challenger,"44,517","Pastor, Ed",Incumbent,N/A,N/A,N/A,N/A,"3,167","26,136",D,.00,29.22,70.78,
House,Arizona,N/A,2010,District 5,5,20020101,"110,374","Schweikert, David",Challenger,"91,749","Mitchell, Harry",Incumbent,N/A,N/A,N/A,N/A,"10,127","18,625",R,.00,54.61,45.39,
House,Arizona,N/A,2008,District 5,5,20020101,"122,165","Schweikert, David",Challenger,"149,033","Mitchell, Harry",Incumbent,N/A,N/A,N/A,N/A,"9,167","26,868",D,.00,45.05,54.95,
House,Arizona,N/A,2006,District 5,5,20020101,"93,815","Hayworth, J.D.",Incumbent,"101,838","Mitchell, Harry",Challenger,N/A,N/A,N/A,N/A,"6,357","8,023",D,.00,47.95,52.05,
House,Arizona,N/A,2004,District 5,5,20020101,"159,455","Hayworth, J.D.",Incumbent,"102,363","Rogers, Elizabeth M.",Challenger,Libertarian,"6,189","Kielsky, Michael",Challenger,N/A,"57,092",R,2.31,60.90,39.10,
House,Arizona,N/A,2002,District 5,5,20020101,"103,870","Hayworth, J.D.",Incumbent,"61,559","Columbus, Craig",Challenger,N/A,N/A,N/A,N/A,"4,383","42,311",R,.00,62.79,37.21,
House,Arizona,N/A,2010,District 6,6,20020101,"165,649","Flake, Jeff",Incumbent,"72,615","Schneider, Rebecca",Challenger,N/A,N/A,N/A,N/A,"11,119","93,034",R,.00,69.52,30.48,
House,Arizona,N/A,2008,District 6,6,20020101,"208,582","Flake, Jeff",Incumbent,"115,457","Schneider, Rebecca",Challenger,N/A,N/A,N/A,N/A,"10,137","93,125",R,.00,64.37,35.63,
House,Arizona,N/A,2006,District 6,6,20020101,"152,201","Flake, Jeff",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"51,285","152,201",R,.00,100.00,.00,
House,Arizona,N/A,2004,District 6,6,20020101,"202,882","Flake, Jeff",Incumbent,N/A,N/A,N/A,Libertarian,"52,695","Stritar, Craig B.",Challenger,N/A,"150,187",R,20.62,100.00,.00,
House,Arizona,N/A,2002,District 6,6,20020101,"103,094","Flake, Jeff",Incumbent,"49,355","Thomas, Deborah",Challenger,N/A,N/A,N/A,N/A,"3,888","53,739",R,.00,67.63,32.37,
House,Arizona,N/A,2010,District 7,7,20020101,"70,385","McClung, Ruth",Challenger,"79,935","Grijalva, Raúl M.",Incumbent,N/A,N/A,N/A,N/A,"8,824","9,550",D,.00,46.82,53.18,
House,Arizona,N/A,2008,District 7,7,20020101,"64,425","Sweeney, Joseph D.",Challenger,"124,304","Grijalva, Raúl M.",Incumbent,N/A,N/A,N/A,N/A,"7,760","59,879",D,.00,34.14,65.86,
House,Arizona,N/A,2006,District 7,7,20020101,"46,498","Drake, Ron",Challenger,"80,354","Grijalva, Raúl M.",Incumbent,N/A,N/A,N/A,N/A,"4,673","33,856",D,.00,36.66,63.34,
House,Arizona,N/A,2004,District 7,7,20020101,"59,066","Sweeney, Joseph D.",Challenger,"108,868","Grijalva, Raúl M.",Incumbent,Libertarian,"7,503","Kaplan, Dave",Challenger,N/A,"49,802",D,4.28,35.17,64.83,
House,Arizona,N/A,2002,District 7,7,20020101,"38,474","Hieb, Ross",Challenger,"61,256","Grijalva, Raúl M.",Challenger,N/A,N/A,N/A,N/A,"4,088","22,782",D,.00,38.58,61.42,
House,Arizona,N/A,2010,District 8,8,20020101,"134,124","Kelly, Jesse",Challenger,"138,280","Giffords, Gabrielle",Incumbent,N/A,N/A,N/A,N/A,"11,174","4,156",D,.00,49.24,50.76,
House,Arizona,N/A,2008,District 8,8,20020101,"140,553","Bee, Tim",Challenger,"179,629","Giffords, Gabrielle",Incumbent,N/A,N/A,N/A,N/A,"8,084","39,076",D,.00,43.90,56.10,
House,Arizona,N/A,2006,District 8,8,20020101,"106,790","Graf, Randy",Challenger,"137,655","Giffords, Gabrielle",Challenger,N/A,N/A,N/A,N/A,"9,275","30,865",D,.00,43.69,56.31,
House,Arizona,N/A,2004,District 8,8,20020101,"183,363","Kolbe, Jim",Incumbent,"109,963","Bacal, Eva K.",Challenger,Libertarian,"10,443","Anderson, Robert M.",Challenger,N/A,"73,400",R,3.44,62.51,37.49,
House,Arizona,N/A,2002,District 8,8,20020101,"126,930","Kolbe, Jim",Incumbent,"67,328","Ryan, Mary Judge",Challenger,N/A,N/A,N/A,N/A,"6,170","59,602",R,.00,65.34,34.66,
,
,
,
CONGRESS 2002 to 2010 in ARKANSAS
,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Arkansas,N/A,2010,District 1,1,20020101,"93,224","Crawford, Rick",Challenger,"78,267","Causey, Chad",Challenger,N/A,N/A,N/A,N/A,"8,525","14,957",R,.00,54.36,45.64,
House,Arkansas,N/A,2008,District 1,1,20020101,N/A,N/A,N/A,Unopposed,"Berry, Marion",Incumbent,N/A,N/A,N/A,N/A,N/A,0,D,.00,.00,100.00,
House,Arkansas,N/A,2006,District 1,1,20020101,"56,611","Stumbaugh, Mickey",Challenger,"127,577","Berry, Marion",Incumbent,N/A,N/A,N/A,N/A,N/A,"70,966",D,.00,30.74,69.26,
House,Arkansas,N/A,2004,District 1,1,20020101,"81,556","Humphrey, Vernon W.",Challenger,"162,388","Berry, Marion",Incumbent,N/A,N/A,N/A,N/A,N/A,"80,832",D,.00,33.43,66.57,
House,Arkansas,N/A,2002,District 1,1,20020101,"64,357","Robinson, Tommy F.",Challenger,"129,701","Berry, Marion",Incumbent,N/A,N/A,N/A,N/A,N/A,"65,344",D,.00,33.16,66.84,
House,Arkansas,N/A,2010,District 2,2,20020101,"122,091","Griffin, Tim",Challenger,"80,687","Elliott, Joyce",Challenger,N/A,N/A,N/A,N/A,"8,074","41,404",R,.00,60.21,39.79,
House,Arkansas,N/A,2008,District 2,2,20020101,N/A,N/A,N/A,"212,303","Snyder, Vic",Incumbent,N/A,N/A,N/A,N/A,"65,063","212,303",D,.00,.00,100.00,
House,Arkansas,N/A,2006,District 2,2,20020101,"81,432","Mayberry, Andy",Challenger,"124,871","Snyder, Vic",Incumbent,N/A,N/A,N/A,N/A,N/A,"43,439",D,.00,39.47,60.53,
House,Arkansas,N/A,2004,District 2,2,20020101,"115,655","Parks, Marvin L.",Challenger,"160,834","Snyder, Vic",Incumbent,Write-in,4,"Gabriel, William B.",Challenger,N/A,"45,179",D,.00,41.83,58.17,
House,Arkansas,N/A,2002,District 2,2,20020101,N/A,N/A,N/A,"142,752","Snyder, Vic",Incumbent,N/A,N/A,N/A,N/A,"10,874","142,752",D,.00,.00,100.00,
House,Arkansas,N/A,2010,District 3,3,20020101,"148,581","Womack, Steve",Challenger,"56,542","Whitaker, David",Challenger,N/A,N/A,N/A,N/A,N/A,"92,039",R,.00,72.44,27.56,
House,Arkansas,N/A,2008,District 3,3,20020101,"215,196","Boozman, John",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"58,850","215,196",R,.00,100.00,.00,
House,Arkansas,N/A,2006,District 3,3,20020101,"125,039","Boozman, John",Incumbent,"75,885","Anderson, Woodrow",Challenger,N/A,N/A,N/A,N/A,N/A,"49,154",R,.00,62.23,37.77,
House,Arkansas,N/A,2004,District 3,3,20020101,"160,629","Boozman, John",Incumbent,"103,158","Judy, Janice Ann",Challenger,Independent,"7,016","Morfey, Dale W.",Challenger,N/A,"57,471",R,2.59,60.89,39.11,
House,Arkansas,N/A,2002,District 3,3,20020101,"141,478","Boozman, John",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,577","141,478",R,.00,100.00,.00,
House,Arkansas,N/A,2010,District 4,4,20020101,"71,526","Rankin, Beth Anne",Challenger,"102,479","Ross, Mike",Incumbent,N/A,N/A,N/A,N/A,"4,129","30,953",D,.00,41.11,58.89,
House,Arkansas,N/A,2008,District 4,4,20020101,N/A,N/A,N/A,"203,178","Ross, Mike",Incumbent,N/A,N/A,N/A,N/A,"32,603","203,178",D,.00,.00,100.00,
House,Arkansas,N/A,2006,District 4,4,20020101,"43,360","Ross, Joe",Challenger,"128,236","Ross, Mike",Incumbent,N/A,N/A,N/A,N/A,N/A,"84,876",D,.00,25.27,74.73,
House,Arkansas,N/A,2004,District 4,4,20020101,N/A,N/A,N/A,N/A,"Ross, Mike",Incumbent,N/A,N/A,N/A,N/A,N/A,0,D,.00,.00,.00,
House,Arkansas,N/A,2002,District 4,4,20020101,"77,904","Dickey, Jay",Challenger,"119,633","Ross, Mike",Incumbent,N/A,N/A,N/A,N/A,N/A,"41,729",D,.00,39.44,60.56,
,
,
,
CONGRESS 2002 to 2010 in CALIFORNIA
,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,California,N/A,2010,District 1,1,20020101,"72,803","Hanks, Loren",Challenger,"147,307","Thompson, Mike",Incumbent,N/A,N/A,N/A,N/A,"14,482","74,504",D,.00,33.08,66.92,
House,California,N/A,2008,District 1,1,20020101,"67,853","Starkewolf, Zane",Challenger,"197,812","Thompson, Mike",Incumbent,N/A,N/A,N/A,N/A,"24,807","129,959",D,.00,25.54,74.46,
House,California,N/A,2006,District 1,1,20020101,"63,194","Jones, John W.",Challenger,"144,409","Thompson, Mike",Incumbent,N/A,N/A,N/A,N/A,"10,441","81,215",D,.00,30.44,69.56,
House,California,N/A,2004,District 1,1,20020101,"79,970","Wiesner, Lawrence R.",Challenger,"189,366","Thompson, Mike",Incumbent,Green,"13,635","Elizondo, Pamela",Challenger,N/A,"109,396",D,4.82,29.69,70.31,
House,California,N/A,2002,District 1,1,20020101,"60,013","Wiesner, Lawrence R.",Challenger,"118,669","Thompson, Mike",Incumbent,N/A,N/A,N/A,N/A,"6,534","58,656",D,.00,33.59,66.41,
House,California,N/A,2010,District 2,2,20020101,"130,837","Herger, Wally",Incumbent,"98,092","Reed, Jim",Challenger,N/A,N/A,N/A,N/A,11,"32,745",R,.00,57.15,42.85,
House,California,N/A,2008,District 2,2,20020101,"163,459","Herger, Wally",Incumbent,"118,878","Morris, Jeff",Challenger,N/A,N/A,N/A,N/A,N/A,"44,581",R,.00,57.89,42.11,
House,California,N/A,2006,District 2,2,20020101,"134,911","Herger, Wally",Incumbent,"68,234","Sekhon, A.J.",Challenger,N/A,N/A,N/A,N/A,"7,057","66,677",R,.00,66.41,33.59,
House,California,N/A,2004,District 2,2,20020101,"182,119","Herger, Wally",Incumbent,"90,310","Johnson, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"91,809",R,.00,66.85,33.15,
House,California,N/A,2002,District 2,2,20020101,"117,747","Herger, Wally",Incumbent,"52,455","Johnson, Mike",Challenger,N/A,N/A,N/A,N/A,"8,783","65,292",R,.00,69.18,30.82,
House,California,N/A,2010,District 3,3,20020101,"131,169","Lungren, Dan",Incumbent,"113,128","Bera, Ami",Challenger,N/A,N/A,N/A,N/A,"17,641","18,041",R,.00,53.69,46.31,
House,California,N/A,2008,District 3,3,20020101,"155,424","Lungren, Dan",Incumbent,"137,971","Durston, Bill",Challenger,N/A,N/A,N/A,N/A,"20,651","17,453",R,.00,52.97,47.03,
House,California,N/A,2006,District 3,3,20020101,"135,709","Lungren, Dan",Incumbent,"86,318","Durston, Bill",Challenger,N/A,N/A,N/A,N/A,"6,142","49,391",R,.00,61.12,38.88,
House,California,N/A,2004,District 3,3,20020101,"177,738","Lungren, Dan",Challenger,"100,025","Castillo, Gabe",Challenger,Libertarian,"9,310","Tuma, Douglas Arthur",Challenger,N/A,"77,713",R,3.24,63.99,36.01,
House,California,N/A,2002,District 3,3,20020101,"121,732","Ose, Doug",Incumbent,"67,136","Beeman, Howard",Challenger,N/A,N/A,N/A,N/A,"6,050","54,596",R,.00,64.45,35.55,
House,California,N/A,2010,District 4,4,20020101,"186,397","McClintock, Tom",Challenger,"95,653","Curtis, Clint",Challenger,N/A,N/A,N/A,N/A,"22,179","90,744",R,.00,66.09,33.91,
House,California,N/A,2008,District 4,4,20020101,"185,790","McClintock, Tom",Challenger,"183,990","Brown, Charlie",Challenger,N/A,N/A,N/A,N/A,N/A,"1,800",R,.00,50.24,49.76,
House,California,N/A,2006,District 4,4,20020101,"135,818","Doolittle, John T.",Incumbent,"126,999","Brown, Charlie",Challenger,N/A,N/A,N/A,N/A,"14,076","8,819",R,.00,51.68,48.32,
House,California,N/A,2004,District 4,4,20020101,"221,926","Doolittle, John T.",Incumbent,"117,443","Winters, David I.",Challenger,N/A,N/A,N/A,N/A,N/A,"104,483",R,.00,65.39,34.61,
House,California,N/A,2002,District 4,4,20020101,"147,997","Doolittle, John T.",Incumbent,"72,860","Norberg, Mark A.",Challenger,N/A,N/A,N/A,N/A,"7,649","75,137",R,.00,67.01,32.99,
House,California,N/A,2010,District 5,5,20020101,"43,577","Smith, Paul A.",Challenger,"124,220","Matsui, Doris",Challenger,N/A,N/A,N/A,N/A,"4,613","80,643",D,.00,25.97,74.03,
House,California,N/A,2008,District 5,5,20020101,"46,002","Smith, Paul A.",Challenger,"164,242","Matsui, Doris",Challenger,N/A,N/A,N/A,N/A,"10,911","118,240",D,.00,21.88,78.12,
House,California,N/A,2006,District 5,5,20020101,"35,106","Yan, Claire",Challenger,"105,676","Matsui, Doris",Incumbent,N/A,N/A,N/A,N/A,"8,484","70,570",D,.00,24.94,75.06,
House,California,N/A,2004,District 5,5,20020101,"45,120","Dugas, Mike R.",Challenger,"138,004","Matsui, Robert T.",Incumbent,Green,"6,593","Driscoll, Pat W.",Challenger,"3,670","92,884",D,3.41,24.64,75.36,"The other vote was: Reiger, John C. (Peace and Freedom) 3,670"
