Precinct,Tract,Area
18,37019020601,0.6841612530115138
18,37019020602,0.10851117679493973
18,37019020505,0.20594043131023398
12,37019020404,0.4742556889558839
12,37019020405,0.3714976257291993
12,37019020402,0.15423405537193963
06,37019020602,0.2697565094835135
06,37019020603,0.1784160371950083
06,37019020204,0.4322518485501906
06,37019020203,0.11957560477130007
09,37019020305,0.003868024334804128
09,37019020307,0.09835310232337008
09,37019020310,0.8974439995049097
RVRD,37013930501,0.9999780098668973
AUROR,37013930800,0.9992171209819637
NCRK,37013930700,0.9515278411277449
NCRK,37013930100,0.04846531789963412
C1,37015960100,0.9989852496426429
MH,37015960400,0.9832450680287155
MH,37015960100,0.01599924628977779
W2,37015960400,0.5592055018839716
W2,37015960100,0.440794496527666
W1,37117970100,0.0011491739279438995
W1,37015960400,0.9600738249525016
W1,37015960100,0.020684118415124384
W1,37015960200,0.0056184293104070806
W1,37015960300,0.011941552351054237
M2,37015960200,0.9990738100682462
M1,37015960100,0.16263654822806903
M1,37015960200,0.8363977943976125
01,37005950100,0.9972977554341506
01,37193960200,0.0019049824987303538
SN,37015960200,0.8844721902362488
SN,37015960300,0.11552780901748227
04,37005950100,0.9822642296462555
04,37171930801,0.015950778993615772
02,37009970800,0.0012288596490915846
02,37193960900,0.0017175619110792908
02,37005950300,0.9967448331120584
WH,37015960400,0.005492797334079729
WH,37015960100,0.9941731983953674
07,37005950100,0.07772073385511832
07,37005950300,0.7871867231228924
07,37193960400,0.00911851252494363
07,37005950200,0.12597403049703357
WD,37117970400,0.001892564251892919
WD,37015960200,0.005983754572841975
WD,37015960300,0.9921226721748474
RX,37015960200,0.08069138199230838
RX,37015960300,0.9180759394123628
IW,37015960300,0.9994237948916852
12,37011930301,0.20176526308588444
12,37011930302,0.7982347369141157
01,37011930301,0.01206710333335461
01,37011930400,0.9814193705610329
01,37011930200,0.003707963296933244
01,37023020201,0.001634868098068029
03,37011930100,0.9985571739511983
02,37011930100,0.6626331258327909
02,37011930301,0.17329793483446962
02,37011930200,0.16356988407103895
05,37011930301,0.6676752390859402
05,37011930302,0.33232476091406077
09,37011930301,0.5183265102706186
09,37011930302,0.4682187298549526
09,37011930400,0.013454759874455983
18,37011930302,0.363135807099332
18,37011930400,0.6368454027651309
19,37011930302,0.9991768334470548
10,37011930400,0.9994135280783941
04,37011930200,0.9989795836105869
17,37011930302,0.39988927250670925
17,37011930400,0.5998764568297807
B1,37003040700,0.7166720317762905
B1,37003040300,0.2831815288231886
B2,37003040700,0.6766701627495827
B2,37003040600,0.011763843868324008
B2,37003040300,0.31156599243926925
E,37003040300,0.4639027326871853
E,37003040400,0.03839221760060267
E,37003040200,0.49720869535800927
G1,37003040100,0.9794813364545364
G1,37003040200,0.019039833998626705
G2,37097060902,0.0015476711666328497
G2,37003040100,0.9975133902135488
L,37003040200,0.9991673111473047
M,37003040500,0.9999999965979144
S1,37003040500,0.5688138402001508
S1,37003040100,0.43118615219721623
S2,37003040500,0.9993440058335836
SL,37003040100,0.2922082858290725
SL,37003040200,0.7068123772098424
T1,37003040600,0.9197267728760219
T1,37003040400,0.08027320732092591
PEAC,37007920300,0.9983939689957158
PEAC,37179020800,0.001451247513478866
WS,37007920300,0.11382458186574876
WS,37007920600,0.8857800906225856
LILE,37007920400,0.008182527079389353
LILE,37007920200,0.020326338614355274
LILE,37007920600,0.048625804957324686
LILE,37007920100,0.921743299650889
W1,37007920300,0.08407531000141993
W1,37007920500,0.0047271404637987
W1,37007920400,0.8521658023119557
W1,37007920200,0.057093423242866086
W1,37007920100,0.001938323979944687
W2,37007920300,0.10264549748158164
W2,37007920500,0.7645831190918697
W2,37007920600,0.13276203536868958
W3,37007920500,0.7539637815443382
W3,37007920600,0.24603439819942108
MM,37007920600,0.9994386412974775
BURN,37007920300,0.9971958852453673
BURN,37179020100,0.002583533531114729
ANS,37007920400,0.04324260107494616
ANS,37007920200,0.955997373153518
GULL,37007920600,0.9997882682549123
POLK,37007920300,0.9999998433088342
09S,37001022002,0.7224231664698586
09S,37001022001,0.2743914290298856
09S,37135011203,0.0030702213283693817
12S,37001020802,0.8612802356072633
12S,37001020200,0.1387197610266714
09N,37001022001,0.5826010267127443
09N,37001021204,0.4164577257737907
C2,37015960100,0.924877248499218
C2,37015960200,0.07506455470288642
06,37005950300,0.9992256889191136
06,37011930100,0.20402851067091146
06,37011930301,0.015261444180887934
06,37011930302,0.7801415178391805
08,37011930100,0.3687035572174761
08,37011930301,0.6059718277175355
08,37011930302,0.02532461506498004
14,37011930301,1.0000000000000004
13,37011930301,0.2075383275523111
13,37011930200,0.7924616724476903
16,37011930400,0.19374121922399398
16,37011930200,0.8061198138334755
15,37011930301,0.8558040435743961
15,37011930400,0.08999092327280193
15,37011930200,0.054205033152744345
07,37011930301,0.1578826659427863
07,37011930302,0.8421173340572717
11,37011930200,0.999354788391101
T2,37003040100,0.170140417236224
T2,37003040400,0.5595654713426974
T2,37003040200,0.27029411045537605
T3,37003040500,0.23913686485839755
T3,37003040400,0.7608631326522894
T4,37003040400,0.9999987382421504
T5,37003040600,0.7707077072096311
T5,37003040400,0.22929229279037097
W,37003040600,0.9998803636112968
P201,37047930500,0.007540507274543395
P201,37155961500,0.001878850618870607
P201,37017950500,0.9905806421065867
P10,37017950600,0.46102053172691826
P10,37047930500,0.0017854913215096645
P10,37017950500,0.5371939769515702
P202,37017950500,0.9970003956909055
P202,37017950400,0.002501152454680226
P40,37017950100,0.9999567016888801
WASH1,37013930502,0.11286431620451015
WASH1,37013930300,0.8871356663274479
BLCK,37013930900,0.9983232441500963
BLCK,37049960200,0.0012807444473282425
OLDF,37013930200,0.999156620909339
BELHV,37013930100,0.999576925804673
GILEA,37013930900,0.999999954612857
TCRK,37147000900,0.0017267015469885098
TCRK,37013930200,0.9975683902042621
PSJW3,37013930400,0.9999057874751295
CHOCO,37013930900,0.2184260486152989
CHOCO,37013931000,0.7781887305293608
CHOCO,37147001100,0.0025228985039814794
WASH2,37013930200,0.07293944461108617
WASH2,37013930300,0.925488144981745
PANTE,37013930100,0.9996790419679675
WASH4,37013930400,0.8102810369592549
WASH4,37013930502,0.18971895610985884
BEADM,37013930200,0.19074357786075474
BEADM,37013930502,0.8092564209452124
EDWAR,37013930900,0.6116631475545037
EDWAR,37013930800,0.3876349226127369
SURBA,37013930600,0.4271374492516356
SURBA,37013930700,0.5728625490896485
WDPD,37013930600,0.9150485193737259
WDPD,37013930502,0.0848174234869384
WASHP,37013930501,0.75883303199091
WASHP,37013930502,0.24116696311006636
P25,37017950600,0.9942493064161068
P25,37047930500,0.005689017119568334
P30,37017950600,0.9921291350627071
P30,37047930200,0.0016400323591936798
P30,37047930300,0.005886126187918291
P75,37017950600,0.9944380477622546
P75,37047930400,0.0038580016932073125
P75,37047930300,0.001703920133517278
P60,37155961400,0.001996190292804741
P60,37017950300,0.9976803805049617
P45,37017950100,0.9980838292697753
P45,37163970900,0.0019161707302145668
P70,37017950100,0.45618495364244477
P70,37017950200,0.542846215644292
P15,37017950300,0.9654249266539917
P15,37017950400,0.03375092492378176
P35,37017950100,0.01693683674414333
P35,37017950200,0.9830631308524426
P501,37017950500,0.13585882491408427
P501,37017950300,0.019225809809841163
P501,37017950400,0.8449153641722972
P502,37017950600,0.15677104288808216
P502,37017950400,0.843228946032275
P65,37017950100,0.9983681777252786
P55,37017950100,0.9989339985608593
06W,37001020801,0.3334015125645434
06W,37001020901,0.004408739042093082
06W,37001020802,0.6587459926465451
06W,37001021000,0.0034437491370048583
12E,37001020100,0.06560492641292313
12E,37001020200,0.9343919610047399
12W,37001020100,0.9999999863952321
16,37057060203,0.18390008376104222
16,37067003500,0.0011737607781002663
16,37057060202,0.40291197195248846
16,37057060201,0.4117758467054515
04,37057060203,0.34118984410545505
04,37057060301,0.6587236245679267
82,37057060304,0.09832545376646913
82,37057060400,0.8293232126104755
82,37057060201,0.07235129750978947
30,37057061500,0.7321347922908427
30,37057061803,0.26786516439034036
66,37057061100,0.09379654225226078
66,37057060900,0.9062024321203345
12,37057062002,1.0000000000000018
46,37057060304,0.340604789636104
46,37057060400,0.3587300107087262
46,37057060203,0.30065075644243644
58,37057061804,0.9970754333176083
58,37057061802,0.002663988743041265
33,37063002025,0.0020545828944154884
33,37063002028,0.4309223897296503
33,37063980100,0.4182953675597912
33,37063002027,0.12035182418974634
33,37063001809,0.028198337392104856
47,37063001303,0.006961991853245041
47,37063001400,0.046301169627844405
47,37063002027,0.030601505967379455
47,37063002026,0.25192389475758964
47,37063002009,0.6642114364424219
18,37063001001,0.025564521585942055
18,37063001002,0.4395402547485803
18,37063000900,0.12542342821931057
18,37063001802,0.40947178599201145
52,37063001807,0.11136322515828925
52,37063001002,0.033870714640962016
52,37063001802,0.8547658232454971
48,37063002007,0.9999999715143821
06,37069060801,0.992162423147115
06,37127011500,0.0012331876571492388
06,37069060802,0.006064156284584814
07,37069060801,0.16267153200956802
07,37183054301,0.0026927090321663917
07,37069060802,0.8343604842932585
08,37069060301,0.03570199474842193
08,37069060700,0.9642035193909351
13,37183054302,0.001696676710052432
13,37183054301,0.0021854517313408964
13,37127011500,0.0044990981048243705
13,37069060802,0.9916187720955547
10,37069060100,0.047252077053581455
10,37069060200,0.9500704801768964
10,37127010900,0.001618045955353167
05,37069060600,0.7697367864117085
05,37069060302,0.14562934978842673
05,37069060801,0.08463386259772154
17,37069060600,0.9637594766238154
17,37069060302,0.017144170573814527
17,37069060502,0.018651957486387618
27,37035010101,0.9132178838223289
27,37035010201,0.08572602948476231
39,37035010502,0.994564975563513
39,37027031300,0.005009014974243481
03,37035011802,0.6428075021514348
03,37035011702,0.35661705336841804
24,37023021202,0.00477539375211975
24,37035011801,0.7117836631899979
24,37035011101,0.279549358448284
24,37035011102,0.0030252646356767545
23,37035011801,0.43400265767184987
23,37035011102,0.4678501052282709
23,37035011701,0.0981469973181769
16,37035010402,0.33593899467354116
16,37035010401,0.4815356407208682
16,37035011000,0.05129958187411238
16,37035010304,0.1312257827314679
02,37035011802,0.999999884723867
25,37035011701,0.30135392591005944
25,37035011200,0.41528558615802796
