Precinct,Tract,Area
13,37011930301,0.2075383275544235
13,37011930200,0.7924616724455802
16,37011930400,0.19374121922617846
16,37011930200,0.8061198138310604
15,37011930301,0.8558040435741899
15,37011930400,0.0899909232741018
15,37011930200,0.05420503315165703
07,37011930301,0.15788266593946618
07,37011930302,0.8421173340605842
11,37011930200,0.9993547883921329
T2T3,37003040500,0.08717146391989879
T2T3,37003040100,0.108119912170096
T2T3,37003040400,0.6329435835270486
T2T3,37003040200,0.1717650394750512
W,37003040600,0.9998803636095631
P201,37047930500,0.007540507275619453
P201,37155961500,0.0018788506191591977
P201,37017950500,0.9905806421052148
P10,37017950600,0.4610205317257682
P10,37047930500,0.0017854913222004859
P10,37017950500,0.537193976952041
P202,37017950500,0.9970003956913966
P202,37017950400,0.0025011524544973
P40,37017950100,0.9999567016881946
WASH1,37013930502,0.11286431620365964
WASH1,37013930300,0.8871356663258827
BLCK,37013930900,0.9983232441493679
BLCK,37049960200,0.0012807444480853957
OLDF,37013930200,0.9991566209096063
BELHV,37013930100,0.9995769258048569
GILEA,37013930900,0.9999999546134158
TCRK,37147000900,0.0017267015478146062
TCRK,37013930200,0.9975683902041026
PSJW3,37013930400,0.999905787473827
CHOCO,37013930900,0.21842604861477766
CHOCO,37013931000,0.7781887305292635
CHOCO,37147001100,0.0025228985041421165
WASH2,37013930200,0.07293944461184887
WASH2,37013930300,0.9254881449828224
PANTE,37013930100,0.9996790419683518
WASH4,37013930400,0.8102810369617602
WASH4,37013930502,0.18971895610682024
BEADM,37013930200,0.1907435778591779
BEADM,37013930502,0.8092564209464809
EDWAR,37013930900,0.6116631475551171
EDWAR,37013930800,0.3876349226116332
SURBA,37013930600,0.4271374492520807
SURBA,37013930700,0.5728625490883567
WDPD,37013930600,0.9150485193727279
WDPD,37013930502,0.08481742348682512
WASHP,37013930501,0.7588330319930864
WASHP,37013930502,0.24116696310610483
P25,37017950600,0.9942493064159609
P25,37047930500,0.005689017119911749
P30,37017950600,0.9921291350625829
P30,37047930200,0.0016400323594082155
P30,37047930300,0.005886126188365212
P75,37017950600,0.9944380477619789
P75,37047930400,0.0038580016936963753
P75,37047930300,0.0017039201337079313
P60,37155961400,0.001996190293294627
P60,37017950300,0.9976803805052922
P45,37017950100,0.9980838292711677
P45,37163970900,0.001916170728814827
P70,37017950100,0.4561849536419607
P70,37017950200,0.5428462156456665
P15,37017950300,0.9654249266542593
P15,37017950400,0.03375092492371679
P35,37017950100,0.01693683674303354
P35,37017950200,0.9830631308525563
P501,37017950500,0.13585882491534285
P501,37017950300,0.01922580980983029
P501,37017950400,0.844915364171497
P502,37017950600,0.1567710428891728
P502,37017950400,0.8432289460322775
P65,37017950100,0.9983681777265757
P55,37017950100,0.9989339985602618
06W,37001020801,0.33340151256822836
06W,37001020901,0.004408739041063925
06W,37001020802,0.6587459926495258
06W,37001021000,0.003443749133513899
12E,37001020100,0.065604926414888
12E,37001020200,0.9343919610046182
12W,37001020100,0.9999999863920206
16,37057060203,0.18390008376236994
16,37067003500,0.0011737607794875574
16,37057060202,0.40291197195099454
16,37057060201,0.411775846706084
04,37057060203,0.3411898441030105
04,37057060301,0.6587236245692529
82,37057060304,0.0983254537665389
82,37057060400,0.8293232126108555
82,37057060201,0.07235129750900654
30,37057061500,0.7321347922882779
30,37057061803,0.26786516439314983
66,37057061100,0.09379654225154703
66,37057060900,0.906202432124991
12,37057062002,1.0000000000000009
46,37057060304,0.3406047896382581
46,37057060400,0.35873001071053534
46,37057060203,0.3006507564394149
58,37057061804,0.9970754333185388
58,37057061802,0.002663988742127409
33,37063002025,0.0020545828947520625
33,37063002028,0.4309223897287603
33,37063980100,0.4182953675598175
33,37063002027,0.12035182419100876
33,37063001809,0.028198337391238705
47,37063001303,0.006961991854415443
47,37063001400,0.04630116962573242
47,37063002027,0.03060150596090933
47,37063002026,0.2519238947626972
47,37063002009,0.6642114364442235
18,37063001001,0.02556452158743238
18,37063001002,0.43954025475019426
18,37063000900,0.12542342822174504
18,37063001802,0.40947178598978345
52,37063001807,0.11136322515611734
