maptype,stateID,state,district,district_dem_result,district_rep_result,district_winner
Compact,48,TX,8,76952.68637444891,183811.53116292867,R
Compact,48,TX,9,143814.53308605606,60462.88561167496,D
Compact,48,TX,10,188076.04769587895,149252.07614564023,D
Compact,48,TX,11,55800.22141450687,130914.60678514277,R
Compact,48,TX,12,85575.6845311374,194206.77370557442,R
Compact,48,TX,13,34698.800442434476,164446.20504927088,R
Compact,48,TX,14,96333.95072278626,156077.99968805886,R
Compact,48,TX,15,98691.5003016617,30296.710748512713,D
Compact,48,TX,16,118842.91563054294,45441.63125259058,D
Compact,48,TX,17,76686.25484727325,141281.3992956861,R
Compact,48,TX,18,117954.70088128827,75719.24865891383,D
Compact,48,TX,19,49742.0,155614.0,R
Compact,48,TX,20,111043.05220634303,55922.56327414655,D
Compact,48,TX,21,113175.75065227563,147842.64354122555,R
Compact,48,TX,22,159190.1714249462,117106.43909915394,D
Compact,48,TX,23,147737.46129429206,47228.8347626988,D
Compact,48,TX,24,138631.3456664434,53993.544517349495,D
Compact,48,TX,25,57456.52755636381,170297.18308940402,R
Compact,48,TX,26,139465.5470837343,150469.53238302117,R
Compact,48,TX,27,72233.77598414049,134793.73144620602,R
Compact,48,TX,28,106390.81078126121,47560.291706259886,D
Compact,48,TX,29,95258.38013531614,101269.62520989048,R
Compact,48,TX,30,118209.41868323648,59155.05662946284,D
Compact,48,TX,31,118783.72605040346,140756.4136521601,R
Compact,48,TX,32,147630.94997496656,72339.32541728066,D
Compact,48,TX,33,100491.56749995494,112300.54671658168,R
Compact,48,TX,34,88041.0941705349,63103.11506850702,D
Compact,48,TX,35,233176.17509028103,68133.92978012527,D
Compact,48,TX,36,64548.74475171423,149700.24774955047,R
Compact,49,UT,1,63346.22861895094,156137.2493329292,R
Compact,49,UT,2,96142.43489793991,161931.74840732364,R
Compact,49,UT,3,56769.45878318596,187100.43950822492,R
Compact,49,UT,4,157750.87769992318,112137.56275152226,D
Compact,50,VT,At Large,188547.0,70705.0,D
Compact,51,VA,1,144308.59722170557,190037.30255396687,R
Compact,51,VA,2,115467.99476473824,120133.6764892048,R
Compact,51,VA,3,93513.43184216836,59412.2175650286,D
Compact,51,VA,4,220591.96874153937,111445.54595479424,D
Compact,51,VA,5,129785.26045622076,161631.39586254576,R
Compact,51,VA,6,113745.01651896472,168313.3234098994,R
Compact,51,VA,7,152739.080167166,182676.29637320247,R
Compact,51,VA,9,85065.69968884239,161891.1991209855,R
Compact,51,VA,8,246625.8894552132,85502.48379222868,D
Compact,51,VA,10,209037.961429065,115188.42495483707,D
Compact,51,VA,11,228310.880889253,98815.52943244773,D
Compact,53,WA,1,165530.02012249347,103646.86436893464,D
Compact,53,WA,2,186635.81774349159,57533.16227993949,D
Compact,53,WA,3,142548.17241358844,156924.0048731288,R
Compact,53,WA,4,72015.86139296957,122794.35915696004,R
Compact,53,WA,5,125032.77131493206,154024.4249745592,R
Compact,53,WA,6,193144.34437098354,113753.296850651,D
Compact,53,WA,7,260219.8904361934,53530.07850329756,D
Compact,53,WA,8,188303.22930740908,72601.42587535841,D
Compact,53,WA,9,283116.3080187353,59207.92949877433,D
Compact,53,WA,10,135951.58487920425,86185.55143509585,D
Compact,54,WV,1,77974.87250177024,118163.84712478958,R
Compact,54,WV,2,73143.7553414038,123351.00673460818,R
Compact,54,WV,3,81737.37215682596,94276.14614060223,R
Compact,55,WI,1,149729.45043173613,152858.79021212773,R
Compact,55,WI,2,179431.50427704005,83396.28045125876,D
Compact,55,WI,3,179734.95611786676,129395.28766392563,D
Compact,55,WI,4,203828.95442285002,71706.03196550361,D
Compact,55,WI,5,129165.14163314336,250308.93285412574,R
Compact,55,WI,6,138560.06537406094,172920.36259332643,R
Compact,55,WI,7,133933.37673443992,185872.89766849342,R
Compact,55,WI,8,121853.15782430267,203615.66455853215,R
Compact,56,WY,At Large,59903.0,127963.0,R
Dem,1,AL,1,70335.73160768606,171714.55697092594,R
Dem,1,AL,2,111513.24743679476,99845.82704168334,D
Dem,1,AL,3,80050.67036344358,147939.0118971863,R
Dem,1,AL,4,56599.03612970411,180750.20906865652,R
Dem,1,AL,5,89396.13492725846,160152.17336362344,R
Dem,1,AL,6,61981.26457092637,168349.82257385427,R
Dem,1,AL,7,65272.125023907975,74415.42168600288,R
Dem,2,AK,At Large,0,149779,R
Dem,4,AZ,1,118963.59083434136,114361.41971059723,D
Dem,4,AZ,2,157964.35669680976,111737.827606263,D
Dem,4,AZ,3,107275.39845544733,81289.7726710204,D
Dem,4,AZ,4,101013.72328243007,178497.23093881976,R
Dem,4,AZ,5,124117.01646445562,134718.23423665806,R
Dem,4,AZ,6,119555.33661081785,118960.95680955313,D
Dem,4,AZ,7,105458.54932331126,68876.95810909844,D
Dem,4,AZ,8,116236.25784520117,166183.3222261505,R
